energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.38891112,-0.38891112,0.00037279,-0.00037279,0.00915352,-0.00915352,0.07525952,-0.07525952,0.09172028,-0.09172028,0.11322573,-0.11322573,0.22155728,-0.22155728,0.00000000,-0.00000000
-5.99399700,0.40565206,-0.40565206,0.00039469,-0.00039469,0.00844121,-0.00844121,0.07927875,-0.07927875,0.09466045,-0.09466045,0.11880941,-0.11880941,0.23220376,-0.23220376,0.00000000,-0.00000000
-5.98799400,0.42234931,-0.42234931,0.00042069,-0.00042069,0.00786720,-0.00786720,0.08311355,-0.08311355,0.09763777,-0.09763777,0.12433645,-0.12433645,0.24269344,-0.24269344,0.00000000,-0.00000000
-5.98199100,0.43853200,-0.43853200,0.00045063,-0.00045063,0.00741162,-0.00741162,0.08667428,-0.08667428,0.10052762,-0.10052762,0.12968272,-0.12968272,0.25276690,-0.25276690,0.00000000,-0.00000000
-5.97598799,0.45376115,-0.45376115,0.00048443,-0.00048443,0.00705603,-0.00705603,0.08987601,-0.08987601,0.10321181,-0.10321181,0.13473472,-0.13473472,0.26218196,-0.26218196,0.00000000,-0.00000000
-5.96998499,0.46764317,-0.46764317,0.00052209,-0.00052209,0.00678384,-0.00678384,0.09264115,-0.09264115,0.10558203,-0.10558203,0.13939371,-0.13939371,0.27072100,-0.27072100,0.00000000,-0.00000000
-5.96398199,0.47984220,-0.47984220,0.00056372,-0.00056372,0.00658078,-0.00658078,0.09490204,-0.09490204,0.10754295,-0.10754295,0.14357949,-0.14357949,0.27819781,-0.27819781,0.00000000,-0.00000000
-5.95797899,0.49009070,-0.49009070,0.00060949,-0.00060949,0.00643524,-0.00643524,0.09660320,-0.09660320,0.10901495,-0.10901495,0.14723380,-0.14723380,0.28446337,-0.28446337,0.00000000,-0.00000000
-5.95197599,0.49819802,-0.49819802,0.00065961,-0.00065961,0.00633855,-0.00633855,0.09770326,-0.09770326,0.10993633,-0.10993633,0.15032308,-0.15032308,0.28941044,-0.28941044,0.00000000,-0.00000000
-5.94597299,0.50405644,-0.50405644,0.00071435,-0.00071435,0.00628520,-0.00628520,0.09817638,-0.09817638,0.11026495,-0.11026495,0.15284060,-0.15284060,0.29297675,-0.29297675,0.00000000,-0.00000000
-5.93996998,0.50764450,-0.50764450,0.00077399,-0.00077399,0.00627304,-0.00627304,0.09801328,-0.09801328,0.10997921,-0.10997921,0.15480782,-0.15480782,0.29514663,-0.29514663,0.00000000,-0.00000000
-5.93396698,0.50902757,-0.50902757,0.00083879,-0.00083879,0.00630337,-0.00630337,0.09722155,-0.09722155,0.10907842,-0.10907842,0.15627483,-0.15627483,0.29595099,-0.29595099,0.00000000,-0.00000000
-5.92796398,0.50835537,-0.50835537,0.00090896,-0.00090896,0.00638104,-0.00638104,0.09582560,-0.09582560,0.10758247,-0.10758247,0.15731998,-0.15731998,0.29546561,-0.29546561,0.00000000,-0.00000000
-5.92196098,0.50585676,-0.50585676,0.00098467,-0.00098467,0.00651442,-0.00651442,0.09386581,-0.09386581,0.10553085,-0.10553085,0.15804861,-0.15804861,0.29380787,-0.29380787,0.00000000,-0.00000000
-5.91595798,0.50183190,-0.50183190,0.00106596,-0.00106596,0.00671537,-0.00671537,0.09139736,-0.09139736,0.10298107,-0.10298107,0.15859092,-0.15859092,0.29113198,-0.29113198,0.00000000,-0.00000000
-5.90995498,0.49664212,-0.49664212,0.00115277,-0.00115277,0.00699917,-0.00699917,0.08848845,-0.08848845,0.10000655,-0.10000655,0.15909903,-0.15909903,0.28762296,-0.28762296,0.00000000,-0.00000000
-5.90395198,0.49069781,-0.49069781,0.00124487,-0.00124487,0.00738428,-0.00738428,0.08521812,-0.08521812,0.09669403,-0.09669403,0.15974334,-0.15974334,0.28348961,-0.28348961,0.00000000,-0.00000000
-5.89794897,0.48444485,-0.48444485,0.00134186,-0.00134186,0.00789214,-0.00789214,0.08167382,-0.08167382,0.09314066,-0.09314066,0.16070828,-0.16070828,0.27895673,-0.27895673,0.00000000,-0.00000000
-5.89194597,0.47835017,-0.47835017,0.00144318,-0.00144318,0.00854683,-0.00854683,0.07794866,-0.07794866,0.08945080,-0.08945080,0.16218754,-0.16218754,0.27425700,-0.27425700,0.00000000,-0.00000000
-5.88594297,0.47288669,-0.47288669,0.00154804,-0.00154804,0.00937460,-0.00937460,0.07413863,-0.07413863,0.08573269,-0.08573269,0.16437886,-0.16437886,0.26962270,-0.26962270,0.00000000,-0.00000000
