energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,2.23770394,-2.23770341,2.96785969,-2.96785907,0.44981268,-0.44981260,0.01065339,-0.01065339,0.74022170,-0.74022153,0.52228363,-0.52228349,0.00000000,-0.00000000,0.50728927,-0.50728912,0.09756644,-0.09756641
-5.99399700,2.14520898,-2.14520843,2.84050158,-2.84050091,0.43247903,-0.43247895,0.01077699,-0.01077699,0.71063829,-0.71063812,0.50048790,-0.50048776,0.00000000,-0.00000000,0.48525438,-0.48525423,0.09267259,-0.09267256
-5.98799400,2.04955624,-2.04955568,2.70625059,-2.70624989,0.41470587,-0.41470578,0.01085662,-0.01085662,0.67971442,-0.67971423,0.47785500,-0.47785485,0.00000000,-0.00000000,0.46223488,-0.46223472,0.08763377,-0.08763374
-5.98199100,1.95216889,-1.95216833,2.56681062,-2.56680989,0.39674183,-0.39674174,0.01088946,-0.01088946,0.64784573,-0.64784554,0.45475880,-0.45475865,0.00000000,-0.00000000,0.43859437,-0.43859421,0.08252516,-0.08252513
-5.97598799,1.85450933,-1.85450878,2.42395533,-2.42395458,0.37884646,-0.37884638,0.01087361,-0.01087361,0.61544687,-0.61544668,0.43157842,-0.43157828,0.00000000,-0.00000000,0.41471396,-0.41471381,0.07742130,-0.07742127
-5.96998499,1.75804492,-1.75804437,2.27948940,-2.27948864,0.36128412,-0.36128403,0.01080823,-0.01080823,0.58294231,-0.58294212,0.40868970,-0.40868955,0.00000000,-0.00000000,0.39098140,-0.39098124,0.07239435,-0.07239432
-5.96398199,1.66421360,-1.66421308,2.13520911,-2.13520836,0.34431752,-0.34431744,0.01069359,-0.01069359,0.55075668,-0.55075650,0.38645691,-0.38645677,0.00000000,-0.00000000,0.36778037,-0.36778022,0.06751246,-0.06751244
-5.95797899,1.57439058,-1.57439009,1.99286340,-1.99286266,0.32820126,-0.32820119,0.01053111,-0.01053111,0.51930494,-0.51930476,0.36522522,-0.36522509,0.00000000,-0.00000000,0.34548038,-0.34548024,0.06283839,-0.06283836
-5.95197599,1.48985674,-1.48985629,1.85411640,-1.85411569,0.31317534,-0.31317527,0.01032334,-0.01032334,0.48898253,-0.48898236,0.34531384,-0.34531373,0.00000000,-0.00000000,0.32442738,-0.32442726,0.05842823,-0.05842821
-5.94597299,1.41176979,-1.41176938,1.72051269,-1.72051200,0.29945897,-0.29945892,0.01007389,-0.01007389,0.46015596,-0.46015580,0.32701017,-0.32701006,0.00000000,-0.00000000,0.30493550,-0.30493539,0.05433052,-0.05433050
