energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.94935394,0.04927644,0.16939180,0.01100640,1.77234534,2.48652907,0.51620517
-5.99399700,2.81036523,0.04709921,0.15950673,0.01039289,1.69286951,2.38864733,0.48876987
-5.98799400,2.67028799,0.04491992,0.14941309,0.00984939,1.61293723,2.28839022,0.46117863
-5.98199100,2.53089491,0.04276768,0.13924559,0.00937128,1.53355408,2.18721900,0.43379323
-5.97598799,2.39385161,0.04066852,0.12913246,0.00895362,1.45566321,2.08652200,0.40695660
-5.96998499,2.26068576,0.03864491,0.11919255,0.00859135,1.38012871,1.98758584,0.38098613
-5.96398199,2.13276362,0.03671541,0.10953293,0.00827954,1.30772331,1.89157263,0.35616839
-5.95797899,2.01127463,0.03489460,0.10024703,0.00801361,1.23912078,1.79950406,0.33275551
-5.95197599,1.89722437,0.03319309,0.09141339,0.00778948,1.17489306,1.71225242,0.31096307
-5.94597299,1.79143559,0.03161773,0.08309493,0.00760377,1.11551209,1.63053866,0.29096981
-5.93996998,1.69455679,0.03017198,0.07533893,0.00745394,1.06135582,1.55493700,0.27291877
-5.93396698,1.60707723,0.02885637,0.06817740,0.00733837,1.01271787,1.48588529,0.25691986
-5.92796398,1.52934725,0.02766899,0.06162800,0.00725649,0.96982009,1.42370025,0.24305362
-5.92196098,1.46160221,0.02660616,0.05569530,0.00720879,0.93282692,1.36859615,0.23137575
-5.91595798,1.40398858,0.02566294,0.05037236,0.00719692,0.90186087,1.32070587,0.22192219
-5.90995498,1.35659032,0.02483380,0.04564250,0.00722359,0.87701778,1.28010268,0.21471446
-5.90395198,1.31945407,0.02411314,0.04148115,0.00729262,0.85838108,1.24682156,0.20976470
-5.89794897,1.29261138,0.02349579,0.03785775,0.00740879,0.84603400,1.22087870,0.20708032
-5.89194597,1.27609680,0.02297746,0.03473754,0.00757778,0.84006900,1.20228795,0.20666782
-5.88594297,1.26996063,0.02255499,0.03208328,0.00780597,0.84059356,1.19107334,0.20853551
-5.87993997,1.27427540,0.02222666,0.02985670,0.00810026,0.84773209,1.18727687,0.21269507
-5.87393697,1.28913565,0.02199224,0.02801977,0.00846783,0.86162341,1.19096105,0.21916162
-5.86793397,1.31465073,0.02185300,0.02653576,0.00891587,0.88241377,1.20220593,0.22795237
-5.86193097,1.35093094,0.02181159,0.02536991,0.00945126,0.91024570,1.22110078,0.23908385
-5.85592796,1.39806733,0.02187183,0.02448999,0.01008026,0.94524286,1.24773064,0.25256780
-5.84992496,1.45610635,0.02203835,0.02386653,0.01080813,0.98749165,1.28215844,0.26840583
-5.84392196,1.52502038,0.02231622,0.02347281,0.01163878,1.03702035,1.32440366,0.28658329
-5.83791896,1.60467569,0.02271044,0.02328476,0.01257440,1.09377688,1.37441848,0.30706244
-5.83191596,1.69479982,0.02322542,0.02328061,0.01361515,1.15760628,1.43206300,0.32977549
-5.82591296,1.79495004,0.02386441,0.02344046,0.01475882,1.22822930,1.49708086,0.35461785
-5.81990995,1.90448514,0.02462894,0.02374586,0.01600056,1.30522344,1.56907687,0.38144201
-5.81390695,2.02254244,0.02551829,0.02417923,0.01733271,1.38800775,1.64749821,0.41005254
-5.80790395,2.14802199,0.02652898,0.02472343,0.01874468,1.47583264,1.73162072,0.44020258
