energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.88926949,-3.88926948,1.08042456,-1.08042456,2.27532219,-2.27532219,0.00318539,-0.00318539,0.33654677,-0.33654677,0.47762752,-0.47762752,0.66174817,-0.66174817,0.03849398,-0.03849398,0.40391919,-0.40391919
-5.99399700,3.87886741,-3.87886741,1.07190642,-1.07190642,2.27891343,-2.27891343,0.00313112,-0.00313112,0.33504464,-0.33504465,0.47145641,-0.47145641,0.66004860,-0.66004861,0.03829012,-0.03829012,0.39726023,-0.39726023
-5.98799400,3.86750064,-3.86750065,1.06129366,-1.06129365,2.28050075,-2.28050075,0.00308062,-0.00308062,0.33367025,-0.33367026,0.46503145,-0.46503145,0.65954280,-0.65954280,0.03810361,-0.03810361,0.39113836,-0.39113836
-5.98199100,3.85554119,-3.85554119,1.04876224,-1.04876223,2.28016995,-2.28016995,0.00303716,-0.00303716,0.33245010,-0.33245011,0.45841808,-0.45841808,0.66036084,-0.66036085,0.03792124,-0.03792124,0.38567189,-0.38567189
-5.97598799,3.84348428,-3.84348428,1.03455662,-1.03455661,2.27810738,-2.27810738,0.00300416,-0.00300416,0.33141783,-0.33141784,0.45170591,-0.45170591,0.66262369,-0.66262369,0.03773246,-0.03773246,0.38097612,-0.38097612
-5.96998499,3.83191754,-3.83191754,1.01897903,-1.01897902,2.27458673,-2.27458673,0.00298513,-0.00298512,0.33061073,-0.33061073,0.44500399,-0.44500399,0.66643482,-0.66643482,0.03752962,-0.03752962,0.37715921,-0.37715921
-5.96398199,3.82148522,-3.82148523,1.00237693,-1.00237692,2.26995249,-2.26995249,0.00298351,-0.00298351,0.33006577,-0.33006578,0.43843515,-0.43843515,0.67187159,-0.67187160,0.03730788,-0.03730788,0.37431801,-0.37431801
-5.95797899,3.81284992,-3.81284992,0.98512913,-0.98512912,2.26460111,-2.26460111,0.00300267,-0.00300267,0.32981559,-0.32981559,0.43212975,-0.43212976,0.67897681,-0.67897682,0.03706513,-0.03706513,0.37253407,-0.37253407
-5.95197599,3.80665391,-3.80665392,0.96763143,-0.96763143,2.25896100,-2.25896100,0.00304577,-0.00304577,0.32988446,-0.32988446,0.42621921,-0.42621921,0.68775108,-0.68775109,0.03680172,-0.03680172,0.37186979,-0.37186979
-5.94597299,3.80348262,-3.80348263,0.95028237,-0.95028236,2.25347248,-2.25347248,0.00311568,-0.00311568,0.33028478,-0.33028478,0.42082960,-0.42082960,0.69814649,-0.69814650,0.03652014,-0.03652014,0.37236525,-0.37236525
-5.93996998,3.80383196,-3.80383197,0.93346968,-0.93346967,2.24856872,-2.24856872,0.00321490,-0.00321490,0.33101419,-0.33101419,0.41607584,-0.41607584,0.71006210,-0.71006211,0.03622463,-0.03622463,0.37403562,-0.37403562
-5.93396698,3.80808146,-3.80808148,0.91755811,-0.91755810,2.24465849,-2.24465849,0.00334551,-0.00334551,0.33205349,-0.33205349,0.41205656,-0.41205657,0.72334168,-0.72334169,0.03592074,-0.03592074,0.37686938,-0.37686938
-5.92796398,3.81647438,-3.81647440,0.90287883,-0.90287883,2.24211148,-2.24211148,0.00350909,-0.00350909,0.33336569,-0.33336569,0.40885000,-0.40885000,0.73777395,-0.73777396,0.03561495,-0.03561495,0.38082752,-0.38082752
-5.92196098,3.82910554,-3.82910556,0.88972092,-0.88972091,2.24124654,-2.24124654,0.00370668,-0.00370668,0.33489604,-0.33489605,0.40651106,-0.40651106,0.75309539,-0.75309540,0.03531421,-0.03531421,0.38584362,-0.38584362
-5.91595798,3.84591730,-3.84591732,0.87832482,-0.87832482,2.24232319,-2.24232320,0.00393869,-0.00393869,0.33657329,-0.33657329,0.40506968,-0.40506968,0.76899586,-0.76899587,0.03502557,-0.03502557,0.39182501,-0.39182501
-5.90995498,3.86670343,-3.86670344,0.86887813,-0.86887813,2.24553643,-2.24553644,0.00420493,-0.00420493,0.33831198,-0.33831198,0.40453045,-0.40453045,0.78512664,-0.78512665,0.03475582,-0.03475582,0.39865476,-0.39865476
-5.90395198,3.89112017,-3.89112018,0.86151324,-0.86151324,2.25101448,-2.25101448,0.00450454,-0.00450454,0.34001576,-0.34001576,0.40487349,-0.40487349,0.80111080,-0.80111081,0.03451123,-0.03451123,0.40619460,-0.40619460
-5.89794897,3.91870364,-3.91870365,0.85630701,-0.85630701,2.25881930,-2.25881930,0.00483600,-0.00483600,0.34158154,-0.34158155,0.40605648,-0.40605648,0.81655540,-0.81655541,0.03429730,-0.03429730,0.41428856,-0.41428857
-5.89194597,3.94889202,-3.94889203,0.85328190,-0.85328190,2.26894936,-2.26894936,0.00519712,-0.00519712,0.34290425,-0.34290425,0.40801758,-0.40801759,0.83106512,-0.83106513,0.03411857,-0.03411857,0.42276717,-0.42276717
-5.88594297,3.98105116,-3.98105117,0.85240845,-0.85240845,2.28134401,-2.28134402,0.00558507,-0.00558507,0.34388196,-0.34388196,0.41067921,-0.41067921,0.84425660,-0.84425661,0.03397851,-0.03397851,0.43145208,-0.43145208
-5.87993997,4.01450191,-4.01450191,0.85360874,-0.85360873,2.29588898,-2.29588898,0.00599639,-0.00599639,0.34442118,-0.34442119,0.41395220,-0.41395220,0.85577288,-0.85577289,0.03387946,-0.03387946,0.44016090,-0.44016090
-5.87393697,4.04854757,-4.04854757,0.85676042,-0.85676042,2.31242238,-2.31242238,0.00642705,-0.00642705,0.34444197,-0.34444197,0.41774036,-0.41774036,0.86529739,-0.86529739,0.03382260,-0.03382260,0.44871206,-0.44871206
-5.86793397,4.08250003,-4.08250003,0.86170120,-0.86170120,2.33074086,-2.33074086,0.00687250,-0.00687250,0.34388259,-0.34388259,0.42194495,-0.42194495,0.87256666,-0.87256667,0.03380799,-0.03380799,0.45692948,-0.45692948
-5.86193097,4.11570324,-4.11570324,0.86823341,-0.86823341,2.35060534,-2.35060533,0.00732775,-0.00732775,0.34270355,-0.34270355,0.42646895,-0.42646895,0.87738133,-0.87738133,0.03383458,-0.03383458,0.46464698,-0.46464698
-5.85592796,4.14755301,-4.14755301,0.87612858,-0.87612858,2.37174625,-2.37174625,0.00778747,-0.00778747,0.34089077,-0.34089077,0.43122099,-0.43122099,0.87961473,-0.87961473,0.03390033,-0.03390033,0.47171210,-0.47171210
-5.84992496,4.17751249,-4.17751249,0.88513189,-0.88513189,2.39386814,-2.39386813,0.00824607,-0.00824607,0.33845765,-0.33845765,0.43611856,-0.43611856,0.87921889,-0.87921889,0.03400231,-0.03400231,0.47798944,-0.47798944
-5.84392196,4.20512289,-4.20512288,0.89496654,-0.89496654,2.41665350,-2.41665350,0.00869783,-0.00869783,0.33544601,-0.33544601,0.44109065,-0.44109065,0.87622744,-0.87622744,0.03413677,-0.03413677,0.48336327,-0.48336327
-5.83791896,4.23000939,-4.23000938,0.90533796,-0.90533796,2.43976620,-2.43976619,0.00913702,-0.00913702,0.33192581,-0.33192581,0.44607944,-0.44607944,0.87075540,-0.87075540,0.03429930,-0.03429930,0.48773938,-0.48773938
-5.83191596,4.25188256,-4.25188255,0.91593809,-0.91593808,2.46285446,-2.46285446,0.00955804,-0.00955804,0.32799358,-0.32799358,0.45104133,-0.45104133,0.86299583,-0.86299582,0.03448494,-0.03448494,0.49104625,-0.49104625
-5.82591296,4.27053557,-4.27053556,0.92644967,-0.92644967,2.48555386,-2.48555385,0.00995552,-0.00995552,0.32376976,-0.32376976,0.45594698,-0.45594698,0.85321347,-0.85321347,0.03468829,-0.03468829,0.49323548,-0.49323548
-5.81990995,4.28583804,-4.28583802,0.93655085,-0.93655085,2.50749042,-2.50749042,0.01032448,-0.01032448,0.31939488,-0.31939487,0.46078067,-0.46078067,0.84173567,-0.84173566,0.03490364,-0.03490364,0.49428152,-0.49428152
-5.81390695,4.29772716,-4.29772714,0.94591999,-0.94591999,2.52828420,-2.52828420,0.01066044,-0.01066044,0.31502479,-0.31502478,0.46553892,-0.46553892,0.82894094,-0.82894093,0.03512507,-0.03512507,0.49418081,-0.49418081
-5.80790395,4.30619694,-4.30619693,0.95424090,-0.95424090,2.54755345,-2.54755344,0.01095952,-0.01095952,0.31082524,-0.31082523,0.47022849,-0.47022849,0.81524571,-0.81524571,0.03534654,-0.03534654,0.49295039,-0.49295038
