energy_ev,total_up,Ir_p_up,Ir_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,4.13856352,0.92890211,1.80426958,0.94204138,0.00080509,1.30341300,0.00000000
-5.99399700,4.22168404,0.95054005,1.83987680,0.96471685,0.00081182,1.32934153,0.00000000
-5.98799400,4.31302852,0.97239457,1.87976663,0.98667005,0.00081773,1.36306310,0.00000000
-5.98199100,4.41226442,0.99431534,1.92385051,1.00766198,0.00082291,1.40465025,0.00000000
-5.97598799,4.51899078,1.01614116,1.97202012,1.02747274,0.00082749,1.45406092,0.00000000
-5.96998499,4.63272671,1.03769947,2.02414137,1.04590228,0.00083162,1.51113310,0.00000000
-5.96398199,4.75290075,1.05880676,2.08004806,1.06277079,0.00083546,1.57558183,0.00000000
-5.95797899,4.87884263,1.07927039,2.13953555,1.07791900,0.00083918,1.64699863,0.00000000
-5.95197599,5.00977873,1.09889179,2.20235538,1.09120860,0.00084294,1.72485393,0.00000000
-5.94597299,5.14483237,1.11747122,2.26821128,1.10252280,0.00084689,1.80850262,0.00000000
-5.93996998,5.28302965,1.13481400,2.33675710,1.11176722,0.00085120,1.89719291,0.00000000
-5.93396698,5.42331135,1.15073799,2.40759719,1.11887104,0.00085598,1.99007846,0.00000000
-5.92796398,5.56455096,1.16508202,2.48028944,1.12378831,0.00086136,2.08623386,0.00000000
-5.92196098,5.70557844,1.17771484,2.55435117,1.12649950,0.00086742,2.18467293,0.00000000
-5.91595798,5.84520905,1.18854414,2.62926777,1.12701292,0.00087425,2.28436971,0.00000000
-5.90995498,5.98227623,1.19752504,2.70450410,1.12536605,0.00088189,2.38428134,0.00000000
-5.90395198,6.11566705,1.20466750,2.77951804,1.12162651,0.00089039,2.48337235,0.00000000
-5.89794897,6.24435863,1.21004222,2.85377586,1.11589258,0.00089978,2.58063923,0.00000000
-5.89194597,6.36745370,1.21378427,2.92676855,1.10829303,0.00091009,2.67513473,0.00000000
-5.88594297,6.48421332,1.21609445,2.99802841,1.09898626,0.00092132,2.76599048,0.00000000
-5.87993997,6.59408474,1.21723761,3.06714489,1.08815858,0.00093349,2.85243727,0.00000000
-5.87393697,6.69672261,1.21753811,3.13377870,1.07602160,0.00094661,2.93382169,0.00000000
-5.86793397,6.79200173,1.21737221,3.19767329,1.06280861,0.00096071,3.00961853,0.00000000
-5.86193097,6.88001992,1.21715750,3.25866258,1.04877013,0.00097579,3.07943798,0.00000000
-5.85592796,6.96109016,1.21733962,3.31667442,1.03416858,0.00099189,3.14302716,0.00000000
-5.84992496,7.03572139,1.21837670,3.37172899,1.01927206,0.00100904,3.20026576,0.00000000
-5.84392196,7.10458810,1.22072207,3.42393190,1.00434761,0.00102724,3.25115575,0.00000000
-5.83791896,7.16848968,1.22480575,3.47346200,0.98965395,0.00104653,3.29580560,0.00000000
-5.83191596,7.22830069,1.23101561,3.52055421,0.97543387,0.00106690,3.33440964,0.00000000
-5.82591296,7.28491450,1.23967902,3.56547805,0.96190679,0.00108836,3.36722359,0.00000000
-5.81990995,7.33918275,1.25104570,3.60851306,0.94926145,0.00111086,3.39453768,0.00000000
-5.81390695,7.39185399,1.26527276,3.64992231,0.93764928,0.00113435,3.41664872,0.00000000
-5.80790395,7.44351493,1.28241271,3.68992563,0.92717873,0.00115873,3.43383296,0.00000000
-5.80190095,7.49453800,1.30240518,3.72867436,0.91791077,0.00118386,3.44632135,0.00000000
-5.79589795,7.54503866,1.32507291,3.76622942,0.90985601,0.00120956,3.45427885,0.00000000
-5.78989495,7.59484572,1.35012260,3.80254417,0.90297364,0.00123562,3.45778929,0.00000000
-5.78389195,7.64348719,1.37715068,3.83745379,0.89717236,0.00126176,3.45684685,0.00000000
-5.77788894,7.69019363,1.40565419,3.87067215,0.89231348,0.00128767,3.45135498,0.00000000
-5.77188594,7.73391959,1.43504648,3.90179684,0.88821617,0.00131303,3.44113302,0.00000000
-5.76588294,7.77338314,1.46467723,3.93032271,0.88466479,0.00133745,3.42593030,0.00000000
-5.75987994,7.80712204,1.49385611,3.95566333,0.88141813,0.00136056,3.40544705,0.00000000
-5.75387694,7.83356394,1.52187909,3.97717961,0.87822013,0.00138194,3.37936075,0.00000000
-5.74787394,7.85110741,1.54805627,3.99421407,0.87481185,0.00140122,3.34735650,0.00000000
-5.74187094,7.85820924,1.57174001,4.00612882,0.87094407,0.00141802,3.30915928,0.00000000
-5.73586793,7.85347332,1.59235196,4.01234521,0.86638987,0.00143200,3.26456612,0.00000000
-5.72986493,7.83573584,1.60940759,4.01238241,0.86095683,0.00144285,3.21347578,0.00000000
-5.72386193,7.80414181,1.62253712,4.00589283,0.85449796,0.00145033,3.15591415,0.00000000
-5.71785893,7.75820804,1.63150154,3.99269174,0.84692104,0.00145426,3.09205327,0.00000000
-5.71185593,7.69786867,1.63620295,3.97277921,0.83819560,0.00145452,3.02222264,0.00000000
-5.70585293,7.62349994,1.63668854,3.94635262,0.82835737,0.00145108,2.94691188,0.00000000
-5.69984992,7.53592257,1.63314796,3.91380879,0.81750971,0.00144398,2.86676418,0.00000000
-5.69384692,7.43638078,1.62590414,3.87573507,0.80582203,0.00143335,2.78256088,0.00000000
-5.68784392,7.32649905,1.61539789,3.83288973,0.79352507,0.00141939,2.69519777,0.00000000
-5.68184092,7.20821842,1.60216715,3.78617256,0.78090328,0.00140238,2.60565447,0.00000000
-5.67583792,7.08371584,1.58682192,3.73658688,0.76828464,0.00138267,2.51495855,0.00000000
-5.66983492,6.95531077,1.57001608,3.68519533,0.75602829,0.00136065,2.42414642,0.00000000
-5.66383192,6.82536418,1.55241769,3.63307162,0.74451066,0.00133678,2.33422330,0.00000000
-5.65782891,6.69617540,1.53467916,3.58125096,0.73411060,0.00131156,2.24612437,0.00000000
-5.65182591,6.56988254,1.51740905,3.53068214,0.72519440,0.00128549,2.16067947,0.00000000
-5.64582291,6.44837188,1.50114665,3.48218367,0.71810126,0.00125913,2.07858309,0.00000000
-5.63981991,6.33320098,1.48634090,3.43640682,0.71312996,0.00123301,2.00037139,0.00000000
-5.63381691,6.22553971,1.47333440,3.39380742,0.71052735,0.00120766,1.92640732,0.00000000
-5.62781391,6.12613214,1.46235348,3.35462813,0.71047923,0.00118360,1.85687445,0.00000000
-5.62181091,6.03528093,1.45350441,3.31889218,0.71310392,0.00116132,1.79177968,0.00000000
-5.61580790,5.95285502,1.44677597,3.28640901,0.71844889,0.00114128,1.73096449,0.00000000
-5.60980490,5.87831940,1.44204804,3.25679134,0.72649047,0.00112388,1.67412374,0.00000000
-5.60380190,5.81078544,1.43910541,3.22948293,0.73713667,0.00110950,1.62083088,0.00000000
-5.59779890,5.74907818,1.43765607,3.20379527,0.75023283,0.00109845,1.57056804,0.00000000
-5.59179590,5.69181712,1.43735273,3.17895143,0.76556980,0.00109099,1.52275904,0.00000000
-5.58579290,5.63750552,1.43781642,3.15413440,0.78289416,0.00108732,1.47680383,0.00000000
-5.57978989,5.58462350,1.43866071,3.12853758,0.80191998,0.00108757,1.43211210,0.00000000
-5.57378689,5.53171989,1.43951537,3.10141440,0.82234139,0.00109182,1.38813484,0.00000000
-5.56778389,5.47749790,1.44004815,3.07212473,0.84384545,0.00110011,1.34439189,0.00000000
-5.56178089,5.42089032,1.43998367,3.04017532,0.86612451,0.00111238,1.30049467,0.00000000
-5.55577789,5.36112049,1.43911836,3.00525239,0.88888762,0.00112855,1.25616302,0.00000000
-5.54977489,5.29774609,1.43733108,2.96724454,0.91187024,0.00114849,1.21123560,0.00000000
