energy_ev,total_up,C_s_up,C_p_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,4.12880934,0.04052409,1.16547391,2.35858807,1.02979980,0.97329824,0.00000000
-5.99399700,4.38197415,0.04323034,1.24403746,2.48447795,1.10404652,1.01999390,0.00000000
-5.98799400,4.62391017,0.04584827,1.31996443,2.60174564,1.17669844,1.06296864,0.00000000
-5.98199100,4.85061190,0.04834217,1.39207408,2.70828980,1.24668255,1.10139508,0.00000000
-5.97598799,5.05826499,0.05067723,1.45921970,2.80216953,1.31294207,1.13452619,0.00000000
-5.96998499,5.24334836,0.05282040,1.52032049,2.88165850,1.37446455,1.16171328,0.00000000
-5.96398199,5.40273186,0.05474132,1.57439268,2.94529438,1.43030972,1.18242215,0.00000000
-5.95797899,5.53376504,0.05641308,1.62057847,2.99192147,1.47963591,1.19624653,0.00000000
-5.95197599,5.63435319,0.05781296,1.65817137,3.02072446,1.52172382,1.20291835,0.00000000
-5.94597299,5.70301688,0.05892305,1.68663709,3.03125188,1.55599665,1.20231417,0.00000000
-5.93996998,5.73893236,0.05973064,1.70562869,3.02342804,1.58203546,1.19445740,0.00000000
-5.93396698,5.74195070,0.06022853,1.71499544,2.99755276,1.59958927,1.17951632,0.00000000
-5.92796398,5.71259477,0.06041509,1.71478507,2.95428902,1.60857931,1.15779768,0.00000000
-5.92196098,5.65203430,0.06029415,1.70523914,2.89463889,1.60909738,1.12973629,0.00000000
-5.91595798,5.56204001,0.05987474,1.68678197,2.81990894,1.60139839,1.09588094,0.00000000
-5.90995498,5.44491931,0.05917064,1.66000373,2.73166660,1.58588761,1.05687727,0.00000000
-5.90395198,5.30343635,0.05819981,1.62563838,2.63168952,1.56310334,1.01344825,0.00000000
-5.89794897,5.14072046,0.05698370,1.58453780,2.52191005,1.53369593,0.96637316,0.00000000
-5.89194597,4.96016690,0.05554651,1.53764309,2.40435747,1.49840413,0.91646590,0.00000000
-5.88594297,4.76533449,0.05391441,1.48595465,2.28110002,1.45803012,0.86455341,0.00000000
-5.87993997,4.55984425,0.05211481,1.43050201,2.15418939,1.41341414,0.81145520,0.00000000
-5.87393697,4.34728313,0.05017555,1.37231495,2.02560944,1.36541000,0.75796453,0.00000000
-5.86793397,4.13111619,0.04812435,1.31239671,1.89723101,1.31486232,0.70483196,0.00000000
-5.86193097,3.91461000,0.04598814,1.25170037,1.77077408,1.26258623,0.65275171,0.00000000
-5.85592796,3.70076924,0.04379268,1.19110891,1.64777809,1.20935027,0.60235109,0.00000000
-5.84992496,3.49228765,0.04156218,1.13141937,1.52958085,1.15586257,0.55418320,0.00000000
-5.84392196,3.29151359,0.03931913,1.07333128,1.41730592,1.10276074,0.50872272,0.00000000
-5.83791896,3.10042979,0.03708411,1.01743924,1.31185810,1.05060506,0.46636480,0.00000000
-5.83191596,2.92064633,0.03487583,0.96422946,1.21392616,0.99987499,0.42742654,0.00000000
-5.82591296,2.75340520,0.03271115,0.91407972,1.12399177,0.95096847,0.39215075,0.00000000
-5.81990995,2.59959455,0.03060523,0.86726239,1.04234349,0.90420357,0.36071141,0.00000000
-5.81390695,2.45977083,0.02857163,0.82394994,0.96909461,0.85982209,0.33322044,0.00000000
-5.80790395,2.33418648,0.02662249,0.78422225,0.90420338,0.81799452,0.30973513,0.00000000
-5.80190095,2.22282152,0.02476863,0.74807540,0.84749473,0.77882598,0.29026572,0.00000000
-5.79589795,2.12541718,0.02301973,0.71543137,0.79868228,0.74236275,0.27478286,0.00000000
-5.78989495,2.04151019,0.02138434,0.68614830,0.75738982,0.70859914,0.26322431,0.00000000
-5.78389195,1.97046678,0.01986998,0.66003104,0.72317164,0.67748442,0.25550086,0.00000000
-5.77788894,1.91151533,0.01848303,0.63684173,0.69553119,0.64892980,0.25150112,0.00000000
-5.77188594,1.86377737,0.01722878,0.61631026,0.67393784,0.62281524,0.25109519,0.00000000
-5.76588294,1.82629670,0.01611123,0.59814459,0.65784162,0.59899630,0.25413717,0.00000000
-5.75987994,1.79806629,0.01513305,0.58204066,0.64668587,0.57731074,0.26046669,0.00000000
-5.75387694,1.77805336,0.01429540,0.56769204,0.63991812,0.55758522,0.26990957,0.00000000
-5.74787394,1.76522238,0.01359777,0.55479905,0.63699922,0.53964174,0.28227793,0.00000000
-5.74187094,1.75855638,0.01303792,0.54307738,0.63741096,0.52330409,0.29736995,0.00000000
-5.73586793,1.75707655,0.01261176,0.53226594,0.64066255,0.50840407,0.31496971,0.00000000
-5.72986493,1.75986003,0.01231332,0.52213405,0.64629603,0.49478732,0.33484725,0.00000000
-5.72386193,1.76605613,0.01213472,0.51248742,0.65389092,0.48231882,0.35675925,0.00000000
-5.71785893,1.77490059,0.01206634,0.50317318,0.66306813,0.47088762,0.38045051,0.00000000
