energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Sn_p_up,Sn_p_down,Sn_d_up,Sn_d_down
-6.00000000,0.73183608,-0.73183608,0.12010601,-0.12010601,0.12860780,-0.12860780,0.02277658,-0.02277658,0.39276059,-0.39276059,0.05260195,-0.05260195,0.00005508,-0.00005508
-5.99399700,0.80444361,-0.80444361,0.13603857,-0.13603857,0.14137425,-0.14137425,0.02436418,-0.02436418,0.43254599,-0.43254599,0.05743622,-0.05743622,0.00006051,-0.00006051
-5.98799400,0.88043116,-0.88043116,0.15342923,-0.15342923,0.15470119,-0.15470119,0.02592318,-0.02592318,0.47435841,-0.47435841,0.06240698,-0.06240698,0.00006614,-0.00006614
-5.98199100,0.95931516,-0.95931516,0.17225398,-0.17225398,0.16849908,-0.16849908,0.02743527,-0.02743527,0.51795737,-0.51795737,0.06747690,-0.06747690,0.00007191,-0.00007191
-5.97598799,1.04055971,-1.04055971,0.19246694,-0.19246694,0.18266764,-0.18266764,0.02888306,-0.02888306,0.56307105,-0.56307105,0.07260803,-0.07260803,0.00007777,-0.00007777
-5.96998499,1.12357883,-1.12357883,0.21399786,-0.21399786,0.19709634,-0.19709634,0.03025041,-0.03025041,0.60939630,-0.60939630,0.07776280,-0.07776280,0.00008365,-0.00008365
-5.96398199,1.20774034,-1.20774034,0.23675012,-0.23675012,0.21166524,-0.21166524,0.03152274,-0.03152274,0.65659948,-0.65659948,0.08290516,-0.08290516,0.00008951,-0.00008951
-5.95797899,1.29237125,-1.29237125,0.26059950,-0.26059950,0.22624612,-0.22624612,0.03268730,-0.03268730,0.70431817,-0.70431817,0.08800165,-0.08800165,0.00009528,-0.00009528
-5.95197599,1.37676462,-1.37676462,0.28539365,-0.28539365,0.24070399,-0.24070399,0.03373327,-0.03373327,0.75216378,-0.75216378,0.09302255,-0.09302255,0.00010088,-0.00010088
-5.94597299,1.46018769,-1.46018769,0.31095250,-0.31095250,0.25489879,-0.25489879,0.03465191,-0.03465191,0.79972505,-0.79972505,0.09794281,-0.09794281,0.00010626,-0.00010626
-5.93996998,1.54189123,-1.54189123,0.33706956,-0.33706956,0.26868746,-0.26868746,0.03543656,-0.03543656,0.84657246,-0.84657246,0.10274287,-0.10274287,0.00011136,-0.00011136
-5.93396698,1.62111984,-1.62111984,0.36351425,-0.36351425,0.28192617,-0.28192617,0.03608257,-0.03608257,0.89226341,-0.89226341,0.10740919,-0.10740919,0.00011612,-0.00011612
-5.92796398,1.69712301,-1.69712301,0.39003505,-0.39003505,0.29447276,-0.29447276,0.03658719,-0.03658719,0.93634832,-0.93634832,0.11193458,-0.11193458,0.00012049,-0.00012049
-5.92196098,1.76916671,-1.76916671,0.41636367,-0.41636367,0.30618935,-0.30618935,0.03694943,-0.03694943,0.97837735,-0.97837735,0.11631809,-0.11631809,0.00012442,-0.00012442
-5.91595798,1.83654535,-1.83654535,0.44221992,-0.44221992,0.31694498,-0.31694498,0.03716978,-0.03716978,1.01790776,-1.01790776,0.12056465,-0.12056465,0.00012788,-0.00012788
-5.90995498,1.89859368,-1.89859368,0.46731727,-0.46731727,0.32661830,-0.32661830,0.03725008,-0.03725008,1.05451177,-1.05451177,0.12468427,-0.12468427,0.00013083,-0.00013083
-5.90395198,1.95469845,-1.95469845,0.49136890,-0.49136890,0.33510019,-0.33510019,0.03719326,-0.03719326,1.08778467,-1.08778467,0.12869091,-0.12869091,0.00013325,-0.00013325
-5.89794897,2.00430964,-2.00430965,0.51409407,-0.51409407,0.34229623,-0.34229623,0.03700316,-0.03700316,1.11735314,-1.11735314,0.13260107,-0.13260107,0.00013514,-0.00013514
-5.89194597,2.04695081,-2.04695081,0.53522451,-0.53522451,0.34812903,-0.34812903,0.03668435,-0.03668435,1.14288335,-1.14288335,0.13643206,-0.13643206,0.00013648,-0.00013648
-5.88594297,2.08222841,-2.08222841,0.55451076,-0.55451076,0.35254024,-0.35254024,0.03624203,-0.03624203,1.16408884,-1.16408884,0.14020014,-0.14020014,0.00013729,-0.00013729
-5.87993997,2.10983992,-2.10983992,0.57172812,-0.57172812,0.35549225,-0.35549225,0.03568195,-0.03568195,1.18073779,-1.18073779,0.14391856,-0.14391856,0.00013757,-0.00013757
-5.87393697,2.12958048,-2.12958048,0.58668204,-0.58668204,0.35696953,-0.35696953,0.03501037,-0.03501037,1.19265958,-1.19265958,0.14759562,-0.14759562,0.00013734,-0.00013734
-5.86793397,2.14134797,-2.14134797,0.59921286,-0.59921286,0.35697950,-0.35697950,0.03423408,-0.03423408,1.19975023,-1.19975023,0.15123286,-0.15123286,0.00013664,-0.00013664
-5.86193097,2.14514644,-2.14514644,0.60919957,-0.60919957,0.35555305,-0.35555305,0.03336045,-0.03336045,1.20197687,-1.20197687,0.15482352,-0.15482352,0.00013550,-0.00013550
-5.85592796,2.14108788,-2.14108788,0.61656274,-0.61656274,0.35274450,-0.35274450,0.03239749,-0.03239749,1.19938071,-1.19938071,0.15835140,-0.15835140,0.00013395,-0.00013395
-5.84992496,2.12939229,-2.12939229,0.62126632,-0.62126632,0.34863122,-0.34863122,0.03135392,-0.03135392,1.19207874,-1.19207874,0.16179007,-0.16179007,0.00013203,-0.00013203
-5.84392196,2.11038619,-2.11038619,0.62331849,-0.62331849,0.34331274,-0.34331274,0.03023924,-0.03023924,1.18026391,-1.18026391,0.16510279,-0.16510279,0.00012979,-0.00012979
-5.83791896,2.08449967,-2.08449967,0.62277147,-0.62277147,0.33690954,-0.33690954,0.02906380,-0.02906380,1.16420382,-1.16420382,0.16824287,-0.16824287,0.00012728,-0.00012728
-5.83191596,2.05226196,-2.05226196,0.61972035,-0.61972035,0.32956141,-0.32956141,0.02783877,-0.02783877,1.14423798,-1.14423798,0.17115471,-0.17115471,0.00012455,-0.00012455
-5.82591296,2.01429586,-2.01429586,0.61430110,-0.61430110,0.32142558,-0.32142558,0.02657615,-0.02657615,1.12077368,-1.12077368,0.17377542,-0.17377542,0.00012164,-0.00012164
-5.81990995,1.97131095,-1.97131095,0.60668784,-0.60668784,0.31267456,-0.31267456,0.02528868,-0.02528868,1.09428060,-1.09428060,0.17603695,-0.17603695,0.00011861,-0.00011861
-5.81390695,1.92409575,-1.92409575,0.59708941,-0.59708941,0.30349368,-0.30349368,0.02398974,-0.02398974,1.06528416,-1.06528416,0.17786870,-0.17786870,0.00011551,-0.00011551
-5.80790395,1.87350893,-1.87350893,0.58574547,-0.58574547,0.29407864,-0.29407864,0.02269314,-0.02269314,1.03435793,-1.03435793,0.17920047,-0.17920047,0.00011239,-0.00011239
-5.80190095,1.82046943,-1.82046943,0.57292215,-0.57292215,0.28463270,-0.28463270,0.02141297,-0.02141297,1.00211500,-1.00211500,0.17996552,-0.17996552,0.00010930,-0.00010930
-5.79589795,1.76594564,-1.76594564,0.55890737,-0.55890737,0.27536387,-0.27536387,0.02016332,-0.02016332,0.96919869,-0.96919869,0.18010377,-0.18010377,0.00010630,-0.00010630
-5.78989495,1.71094351,-1.71094351,0.54400591,-0.54400591,0.26648198,-0.26648198,0.01895803,-0.01895803,0.93627240,-0.93627240,0.17956480,-0.17956480,0.00010344,-0.00010344
-5.78389195,1.65649346,-1.65649346,0.52853429,-0.52853429,0.25819559,-0.25819559,0.01781042,-0.01781042,0.90400908,-0.90400908,0.17831056,-0.17831056,0.00010076,-0.00010076
-5.77788894,1.60363621,-1.60363621,0.51281548,-0.51281548,0.25070885,-0.25070885,0.01673303,-0.01673303,0.87308007,-0.87308007,0.17631769,-0.17631769,0.00009833,-0.00009833
-5.77188594,1.55340731,-1.55340731,0.49717349,-0.49717349,0.24421821,-0.24421821,0.01573738,-0.01573738,0.84414366,-0.84414366,0.17357919,-0.17357919,0.00009618,-0.00009618
-5.76588294,1.50682047,-1.50682047,0.48192786,-0.48192786,0.23890911,-0.23890911,0.01483372,-0.01483372,0.81783344,-0.81783344,0.17010552,-0.17010552,0.00009436,-0.00009436
-5.75987994,1.46484987,-1.46484987,0.46738810,-0.46738810,0.23495255,-0.23495255,0.01403089,-0.01403089,0.79474641,-0.79474641,0.16592488,-0.16592488,0.00009292,-0.00009292
-5.75387694,1.42841142,-1.42841142,0.45384815,-0.45384815,0.23250162,-0.23250162,0.01333612,-0.01333612,0.77543127,-0.77543127,0.16108284,-0.16108284,0.00009188,-0.00009188
-5.74787394,1.39834346,-1.39834346,0.44158080,-0.44158080,0.23168804,-0.23168804,0.01275501,-0.01275501,0.76037681,-0.76037681,0.15564120,-0.15564120,0.00009129,-0.00009129
-5.74187094,1.37538723,-1.37538723,0.43083230,-0.43083230,0.23261880,-0.23261880,0.01229143,-0.01229143,0.75000084,-0.75000084,0.14967616,-0.14967616,0.00009116,-0.00009116
-5.73586793,1.36016763,-1.36016763,0.42181723,-0.42181723,0.23537292,-0.23537292,0.01194757,-0.01194757,0.74463972,-0.74463972,0.14327596,-0.14327596,0.00009152,-0.00009152
-5.72986493,1.35317482,-1.35317482,0.41471367,-0.41471367,0.23999851,-0.23999851,0.01172398,-0.01172398,0.74453891,-0.74453891,0.13653810,-0.13653810,0.00009235,-0.00009235
-5.72386193,1.35474746,-1.35474746,0.40965890,-0.40965890,0.24651011,-0.24651011,0.01161967,-0.01161967,0.74984484,-0.74984484,0.12956616,-0.12956616,0.00009368,-0.00009368
-5.71785893,1.36505822,-1.36505822,0.40674581,-0.40674581,0.25488670,-0.25488670,0.01163227,-0.01163227,0.76059836,-0.76059836,0.12246655,-0.12246655,0.00009546,-0.00009546
-5.71185593,1.38410241,-1.38410241,0.40602013,-0.40602013,0.26507014,-0.26507014,0.01175821,-0.01175821,0.77673013,-0.77673013,0.11534525,-0.11534525,0.00009769,-0.00009769
-5.70585293,1.41169033,-1.41169033,0.40747859,-0.40747859,0.27696455,-0.27696455,0.01199288,-0.01199288,0.79805833,-0.79805833,0.10830469,-0.10830469,0.00010033,-0.00010033
-5.69984992,1.44744406,-1.44744406,0.41106831,-0.41106831,0.29043638,-0.29043638,0.01233087,-0.01233087,0.82428884,-0.82428884,0.10144089,-0.10144089,0.00010331,-0.00010331
