energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.95253068,0.02532927,0.67592384,0.73000419,0.00000000,1.81677093,0.00000000,2.07914075,1.04166427
-5.99399700,3.81947570,0.02347819,0.65661394,0.71509802,0.00000000,1.76035644,0.00000000,2.08399967,0.97554484
-5.98799400,3.69215758,0.02168406,0.63725271,0.70181758,0.00000000,1.70749532,0.00000000,2.08800458,0.91110027
-5.98199100,3.57138199,0.01996747,0.61810380,0.69012756,0.00000000,1.65835550,0.00000000,2.09100721,0.84894694
-5.97598799,3.45779669,0.01834557,0.59940681,0.67996618,0.00000000,1.61303498,0.00000000,2.09289472,0.78962288
-5.96998499,3.35186740,0.01683183,0.58136985,0.67124444,0.00000000,1.57155505,0.00000000,2.09357741,0.73357667
-5.96398199,3.25385853,0.01543597,0.56416335,0.66384546,0.00000000,1.53385475,0.00000000,2.09297415,0.68116005
-5.95797899,3.16381977,0.01416396,0.54791543,0.65762416,0.00000000,1.49978714,0.00000000,2.09099708,0.63262421
-5.95197599,3.08157983,0.01301821,0.53270906,0.65240743,0.00000000,1.46911789,0.00000000,2.08753661,0.58812003
-5.94597299,3.00674810,0.01199780,0.51858119,0.64799511,0.00000000,1.44152665,0.00000000,2.08244841,0.54770198
-5.93996998,2.93872496,0.01109882,0.50552401,0.64416199,0.00000000,1.41661153,0.00000000,2.07554362,0.51133555
-5.93396698,2.87672078,0.01031482,0.49348823,0.64066087,0.00000000,1.39389691,0.00000000,2.06658330,0.47890774
-5.92796398,2.81978360,0.00963717,0.48238837,0.63722701,0.00000000,1.37284464,0.00000000,2.05527810,0.45024012
-5.92196098,2.76683470,0.00905565,0.47210993,0.63358363,0.00000000,1.35286846,0.00000000,2.04129342,0.42510404
-5.91595798,2.71671115,0.00855887,0.46251809,0.62944878,0.00000000,1.33335126,0.00000000,2.02426030,0.40323725
-5.90995498,2.66821379,0.00813477,0.45346776,0.62454304,0.00000000,1.31366464,0.00000000,2.00379149,0.38436141
-5.90395198,2.62015877,0.00777107,0.44481438,0.61859798,0.00000000,1.29319003,0.00000000,1.97950197,0.36819984
-5.89794897,2.57143071,0.00745569,0.43642524,0.61136495,0.00000000,1.27134047,0.00000000,1.95103287,0.35449487
-5.89194597,2.52103500,0.00717712,0.42819072,0.60262377,0.00000000,1.24758206,0.00000000,1.91807721,0.34302432
-5.88594297,2.46814697,0.00692471,0.42003492,0.59219097,0.00000000,1.22145413,0.00000000,1.88040597,0.33361645
-5.87993997,2.41215578,0.00668894,0.41192535,0.57992694,0.00000000,1.19258706,0.00000000,1.83789280,0.32616301
-5.87393697,2.35270066,0.00646159,0.40388108,0.56574189,0.00000000,1.16071688,0.00000000,1.79053571,0.32062983
-5.86793397,2.28969801,0.00623585,0.39597899,0.54959993,0.00000000,1.12569599,0.00000000,1.73847435,0.31706475
-5.86193097,2.22335771,0.00600639,0.38835779,0.53152133,0.00000000,1.08749926,0.00000000,1.68200157,0.31560232
-5.85592796,2.15418792,0.00576935,0.38121955,0.51158253,0.00000000,1.04622549,0.00000000,1.62156849,0.31646533
-5.84992496,2.08298776,0.00552227,0.37482848,0.48991415,0.00000000,1.00209392,0.00000000,1.55778253,0.31996266
-5.84392196,2.01082823,0.00526401,0.36950693,0.46669689,0.00000000,0.95543616,0.00000000,1.49139827,0.32648357
-5.83791896,1.93902175,0.00499462,0.36562866,0.44215560,0.00000000,0.90668392,0.00000000,1.42330164,0.33648827
-5.83191596,1.86908155,0.00471515,0.36360933,0.41655189,0.00000000,0.85635332,0.00000000,1.35448788,0.35049479
-5.82591296,1.80267250,0.00442751,0.36389456,0.39017559,0.00000000,0.80502642,0.00000000,1.28603445,0.36906238
-5.81990995,1.74155497,0.00413428,0.36694573,0.36333555,0.00000000,0.75333113,0.00000000,1.21907006,0.39277158
-5.81390695,1.68752408,0.00383850,0.37322395,0.33635025,0.00000000,0.70192031,0.00000000,1.15474128,0.42220132
-5.80790395,1.64234630,0.00354352,0.38317265,0.30953864,0.00000000,0.65145124,0.00000000,1.09417810,0.45790372
-5.80190095,1.60769592,0.00325286,0.39719926,0.28321166,0.00000000,0.60256612,0.00000000,1.03846009,0.50037686
-5.79589795,1.58509346,0.00297004,0.41565664,0.25766484,0.00000000,0.55587471,0.00000000,0.98858436,0.55003677
-5.78989495,1.57584835,0.00269849,0.43882481,0.23317213,0.00000000,0.51193941,0.00000000,0.94543676,0.60718910
-5.78389195,1.58100769,0.00244145,0.46689375,0.20998137,0.00000000,0.47126362,0.00000000,0.90976720,0.67200184
-5.77788894,1.60131320,0.00220192,0.49994794,0.18831118,0.00000000,0.43428330,0.00000000,0.88217017,0.74448011
-5.77188594,1.63716756,0.00198262,0.53795327,0.16834961,0.00000000,0.40136205,0.00000000,0.86307068,0.82444424
-5.76588294,1.68861166,0.00178599,0.58074714,0.15025413,0.00000000,0.37278951,0.00000000,0.85271640,0.91151238
-5.75987994,1.75531355,0.00161419,0.62803223,0.13415303,0.00000000,0.34878272,0.00000000,0.85117567,1.00508884
-5.75387694,1.83656962,0.00146910,0.67937451,0.12014780,0.00000000,0.32949023,0.00000000,0.85834153,1.10435922
-5.74787394,1.93131831,0.00135242,0.73420596,0.10831631,0.00000000,0.31499822,0.00000000,0.87394119,1.20829319
-5.74187094,2.03816583,0.00126564,0.79183211,0.09871651,0.00000000,0.30533824,0.00000000,0.89755048,1.31565555
-5.73586793,2.15542346,0.00121014,0.85144453,0.09139017,0.00000000,0.30049577,0.00000000,0.92861256,1.42502591
-5.72986493,2.28115511,0.00118723,0.91213809,0.08636661,0.00000000,0.30041916,0.00000000,0.96645983,1.53482678
-5.72386193,2.41323352,0.00119815,0.97293263,0.08366585,0.00000000,0.30502829,0.00000000,1.01033833,1.64335964
-5.71785893,2.54940339,0.00124415,1.03279823,0.08330134,0.00000000,0.31422236,0.00000000,1.05943334,1.74884804
-5.71185593,2.68734883,0.00132648,1.09068358,0.08528173,0.00000000,0.32788658,0.00000000,1.11289528,1.84948631
-5.70585293,2.82476282,0.00144642,1.14554604,0.08961180,0.00000000,0.34589732,0.00000000,1.16986466,1.94349217
-5.69984992,2.95941578,0.00160527,1.19638246,0.09629255,0.00000000,0.36812542,0.00000000,1.22949533,2.02916116
-5.69384692,3.08922078,0.00180436,1.24225949,0.10532032,0.00000000,0.39443794,0.00000000,1.29097494,2.10492076
-5.68784392,3.21229254,0.00204501,1.28234190,0.11668517,0.00000000,0.42469794,0.00000000,1.35354193,2.16938162
-5.68184092,3.32699798,0.00232850,1.31591792,0.13036862,0.00000000,0.45876290,0.00000000,1.41649864,2.22138390
-5.67583792,3.43199643,0.00265606,1.34242029,0.14634098,0.00000000,0.49648176,0.00000000,1.47922002,2.26003634
-5.66983492,3.52626785,0.00302885,1.36144223,0.16455839,0.00000000,0.53769116,0.00000000,1.54115798,2.28474633
