energy_ev,total_up,Re_p_up,Re_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,4.06058212,2.92677148,2.20232651,1.65791366,0.00000000,0.85517979,0.00000000
-5.99399700,4.02741877,2.75035702,2.26340132,1.69220181,0.00000000,0.82008814,0.00000000
-5.98799400,4.02156720,2.58346838,2.34259244,1.73840024,0.00000000,0.79041160,0.00000000
-5.98199100,4.04411010,2.42800105,2.44002695,1.79672797,0.00000000,0.76648329,0.00000000
-5.97598799,4.09564626,2.28567625,2.55547945,1.86714941,0.00000000,0.74856546,0.00000000
-5.96998499,4.17625017,2.15800054,2.68835104,1.94935578,0.00000000,0.73684391,0.00000000
-5.96398199,4.28544738,2.04623227,2.83765993,2.04275518,0.00000000,0.73142474,0.00000000
-5.95797899,4.42220781,1.95135554,3.00204496,2.14647232,0.00000000,0.73233349,0.00000000
-5.95197599,4.58495806,1.87406255,3.17978327,2.25935870,0.00000000,0.73951694,0.00000000
-5.94597299,4.77161316,1.81474418,3.36882204,2.38001333,0.00000000,0.75284725,0.00000000
-5.93996998,4.97962709,1.77348887,3.56682421,2.50681381,0.00000000,0.77212847,0.00000000
-5.93396698,5.20606058,1.75008912,3.77122688,2.63795677,0.00000000,0.79710497,0.00000000
-5.92796398,5.44766386,1.74405497,3.97931069,2.77150656,0.00000000,0.82747140,0.00000000
-5.92196098,5.70097110,1.75463351,4.18827777,2.90545040,0.00000000,0.86288365,0.00000000
-5.91595798,5.96240300,1.78083352,4.39533527,3.03775787,0.00000000,0.90297030,0.00000000
-5.90995498,6.22837322,1.82145409,4.59778113,3.16644243,0.00000000,0.94734393,0.00000000
-5.90395198,6.49539448,1.87511639,4.79308866,3.28962252,0.00000000,0.99561184,0.00000000
-5.89794897,6.76017983,1.94029755,4.97898613,3.40557971,0.00000000,1.04738562,0.00000000
-5.89194597,7.01973498,2.01536588,5.15352792,3.51281144,0.00000000,1.10228910,0.00000000
-5.88594297,7.27143805,2.09861665,5.31515403,3.61007623,0.00000000,1.15996450,0.00000000
-5.87993997,7.51310329,2.18830783,5.46273518,3.69642945,0.00000000,1.22007645,0.00000000
-5.87393697,7.74302656,2.28269508,5.59560121,3.77124802,0.00000000,1.28231383,0.00000000
-5.86793397,7.96001062,2.38006554,5.71355152,3.83424328,0.00000000,1.34638943,0.00000000
-5.86193097,8.16336960,2.47876988,5.81684662,3.88546119,0.00000000,1.41203769,0.00000000
-5.85592796,8.35291265,2.57725203,5.90618113,3.92527016,0.00000000,1.47901062,0.00000000
-5.84992496,8.52890763,2.67407616,5.98263902,3.95433672,0.00000000,1.54707236,0.00000000
-5.84392196,8.69202680,2.76795033,6.04763299,3.97359037,0.00000000,1.61599275,0.00000000
-5.83791896,8.84327688,2.85774626,6.10283037,3.98417873,0.00000000,1.68554039,0.00000000
-5.83191596,8.98391663,2.94251481,6.15006862,3.98741507,0.00000000,1.75547559,0.00000000
-5.82591296,9.11536575,3.02149658,6.19126402,3.98472020,0.00000000,1.82554381,0.00000000
-5.81990995,9.23910884,3.09412747,6.22831745,3.97756111,0.00000000,1.89546985,0.00000000
-5.81390695,9.35659878,3.16003862,6.26302123,3.96738888,0.00000000,1.96495334,0.00000000
-5.80790395,9.46916353,3.21905095,6.29697115,3.95557811,0.00000000,2.03366566,0.00000000
-5.80190095,9.57792039,3.27116411,6.33148735,3.94337066,0.00000000,2.10124857,0.00000000
-5.79589795,9.68370131,3.31654025,6.36754776,3.93182546,0.00000000,2.16731469,0.00000000
-5.78989495,9.78699228,3.35548294,6.40573663,3.92177678,0.00000000,2.23144968,0.00000000
-5.78389195,9.88788945,3.38841204,6.44621075,3.91380223,0.00000000,2.29321619,0.00000000
-5.77788894,9.98607349,3.41583520,6.48868462,3.90820194,0.00000000,2.35215920,0.00000000
-5.77188594,10.08080319,3.43831724,6.53243517,3.90498949,0.00000000,2.40781265,0.00000000
-5.76588294,10.17092842,3.45644826,6.57632579,3.90389490,0.00000000,2.45970684,0.00000000
-5.75987994,10.25492142,3.47081199,6.61884852,3.90437936,0.00000000,2.50737646,0.00000000
-5.75387694,10.33092511,3.48195546,6.65818235,3.90566098,0.00000000,2.55036867,0.00000000
-5.74787394,10.39681585,3.49036133,6.69226490,3.90675018,0.00000000,2.58825110,0.00000000
-5.74187094,10.45027794,3.49642395,6.71887432,3.90649324,0.00000000,2.62061933,0.00000000
-5.73586793,10.48888646,3.50043033,6.73571750,3.90362181,0.00000000,2.64710376,0.00000000
-5.72986493,10.51019502,3.50254673,6.74052080,3.89680640,0.00000000,2.66737562,0.00000000
-5.72386193,10.51182460,3.50281162,6.73111939,3.88471131,0.00000000,2.68115219,0.00000000
-5.71785893,10.49155025,3.50113537,6.70554118,3.86604880,0.00000000,2.68820120,0.00000000
-5.71185593,10.44738216,3.49730661,6.66208227,3.83963013,0.00000000,2.68834446,0.00000000
-5.70585293,10.37763847,3.49100536,6.59937083,3.80441166,0.00000000,2.68146096,0.00000000
-5.69984992,10.28100738,3.48182204,6.51641723,3.75953409,0.00000000,2.66748955,0.00000000
-5.69384692,10.15659692,3.46928178,6.41264903,3.70435372,0.00000000,2.64643126,0.00000000
-5.68784392,10.00397105,3.45287288,6.28792995,3.63846457,0.00000000,2.61835147,0.00000000
-5.68184092,9.82317166,3.43207798,6.14256308,3.56171130,0.00000000,2.58338194,0.00000000
-5.67583792,9.61472628,3.40640655,5.97727884,3.47419246,0.00000000,2.54172255,0.00000000
-5.66983492,9.37964193,3.37542693,5.79320925,3.37625487,0.00000000,2.49364269,0.00000000
-5.66383192,9.11938594,3.33879635,5.59185016,3.26847965,0.00000000,2.43948206,0.00000000
-5.65782891,8.83585471,3.29628713,5.37501384,3.15166103,0.00000000,2.37965048,0.00000000
-5.65182591,8.53133184,3.24780780,5.14477418,3.02677925,0.00000000,2.31462653,0.00000000
-5.64582291,8.20843702,3.19341760,4.90340710,2.89496884,0.00000000,2.24495444,0.00000000
-5.63981991,7.87006746,3.13333365,4.65332850,2.75748390,0.00000000,2.17123916,0.00000000
-5.63381691,7.51933329,3.06793000,4.39703222,2.61566165,0.00000000,2.09413912,0.00000000
-5.62781391,7.15948904,2.99772866,4.13702988,2.47088581,0.00000000,2.01435681,0.00000000
-5.62181091,6.79386277,2.92338276,3.87579448,2.32455095,0.00000000,1.93262704,0.00000000
-5.61580790,6.42578490,2.84565278,3.61570923,2.17802887,0.00000000,1.84970319,0.00000000
-5.60980490,6.05851866,2.76537695,3.35902270,2.03263814,0.00000000,1.76634178,0.00000000
-5.60380190,5.69519402,2.68343761,3.10781107,1.88961721,0.00000000,1.68328608,0.00000000
-5.59779890,5.33874717,2.60072529,2.86394810,1.75010198,0.00000000,1.60124928,0.00000000
-5.59179590,4.99186729,2.51810263,2.62908296,1.61510790,0.00000000,1.52089820,0.00000000
-5.58579290,4.65695239,2.43637029,2.40462603,1.48551701,0.00000000,1.44283835,0.00000000
-5.57978989,4.33607569,2.35623687,2.19174240,1.36206976,0.00000000,1.36760121,0.00000000
-5.57378689,4.03096371,2.27829458,1.99135277,1.24536170,0.00000000,1.29563457,0.00000000
-5.56778389,3.74298695,2.20300230,1.80414115,1.13584458,0.00000000,1.22729651,0.00000000
-5.56178089,3.47316337,2.13067690,1.63056884,1.03383174,0.00000000,1.16285357,0.00000000
-5.55577789,3.22217457,2.06149343,1.47089373,0.93950710,0.00000000,1.10248328,0.00000000
-5.54977489,2.99039404,1.99549411,1.32519434,0.85293739,0.00000000,1.04628111,0.00000000
-5.54377189,2.77792603,1.93260561,1.19339732,0.77408689,0.00000000,0.99427149,0.00000000
-5.53776888,2.58465349,1.87266346,1.07530763,0.70283409,0.00000000,0.94642238,0.00000000
-5.53176588,2.41029268,1.81544207,0.97064023,0.63898947,0.00000000,0.90266274,0.00000000
-5.52576288,2.25445213,1.76068855,0.87905222,0.58231371,0.00000000,0.86290177,0.00000000
-5.51975988,2.11669295,1.70815807,0.80017424,0.53253570,0.00000000,0.82704906,0.00000000
-5.51375688,1.99658774,1.65764881,0.73364011,0.48936949,0.00000000,0.79503432,0.00000000
-5.50775388,1.89377530,1.60903410,0.67911368,0.45252968,0.00000000,0.76682571,0.00000000
-5.50175088,1.80800832,1.56228993,0.63631190,0.42174458,0.00000000,0.74244570,0.00000000
-5.49574787,1.73919186,1.51751618,0.60502328,0.39676679,0.00000000,0.72198334,0.00000000
-5.48974487,1.68741056,1.47495008,0.58512103,0.37738078,0.00000000,0.70560241,0.00000000
-5.48374187,1.65294321,1.43497133,0.57657043,0.36340725,0.00000000,0.69354465,0.00000000
-5.47773887,1.63626370,1.39809823,0.57942990,0.35470421,0.00000000,0.68612795,0.00000000
-5.47173587,1.63802821,1.36497520,0.59384596,0.35116492,0.00000000,0.68373927,0.00000000
-5.46573287,1.65904878,1.33635207,0.62004172,0.35271274,0.00000000,0.68682245,0.00000000
-5.45972986,1.70025424,1.31305625,0.65829966,0.35929335,0.00000000,0.69586141,0.00000000
-5.45372686,1.76263998,1.29595917,0.70893890,0.37086486,0.00000000,0.71135927,0.00000000
-5.44772386,1.84720835,1.28593841,0.77228779,0.38738611,0.00000000,0.73381419,0.00000000
-5.44172086,1.95490216,1.28383758,0.84865283,0.40880409,0.00000000,0.76369288,0.00000000
-5.43571786,2.08653382,1.29042545,0.93828496,0.43504101,0.00000000,0.80140285,0.00000000
-5.42971486,2.24271302,1.30635654,1.04134443,0.46598169,0.00000000,0.84726450,0.00000000
-5.42371186,2.42377604,1.33213457,1.15786584,0.50146204,0.00000000,0.90148423,0.00000000
-5.41770885,2.62971960,1.36808057,1.28772449,0.54125925,0.00000000,0.96412975,0.00000000
-5.41170585,2.86014229,1.41430694,1.43060587,0.58508426,0.00000000,1.03510861,0.00000000
-5.40570285,3.11419641,1.47069843,1.58597944,0.63257698,0.00000000,1.11415114,0.00000000
-5.39969985,3.39055253,1.53690103,1.75307836,0.68330466,0.00000000,1.20079850,0.00000000
-5.39369685,3.68737923,1.61231909,1.93088618,0.73676358,0.00000000,1.29439684,0.00000000
-5.38769385,4.00233929,1.69612094,2.11813166,0.79238421,0.00000000,1.39409789,0.00000000
-5.38169085,4.33260379,1.78725287,2.31329251,0.84953968,0.00000000,1.49886655,0.00000000
-5.37568784,4.67488441,1.88446105,2.51460841,0.90755739,0.00000000,1.60749553,0.00000000
-5.36968484,5.02548385,1.98632077,2.72010361,0.96573338,0.00000000,1.71862689,0.00000000
-5.36368184,5.38036343,2.09127201,2.92761865,1.02334884,0.00000000,1.83078003,0.00000000
-5.35767884,5.73522632,2.19766042,3.13485075,1.07968836,0.00000000,1.94238568,0.00000000
-5.35167584,6.08561414,2.30378223,3.33940169,1.13405896,0.00000000,2.05182462,0.00000000
-5.34567284,6.42701393,2.40793182,3.53883171,1.18580935,0.00000000,2.15747028,0.00000000
-5.33966983,6.75497208,2.50845039,3.73071790,1.23434848,0.00000000,2.25773352,0.00000000
-5.33366683,7.06521123,2.60377414,3.91271474,1.27916272,0.00000000,2.35110827,0.00000000
-5.32766383,7.35374590,2.69248054,4.08261485,1.31983091,0.00000000,2.43621618,0.00000000
-5.32166083,7.61699256,2.77333079,4.23840737,1.35603663,0.00000000,2.51184857,0.00000000
-5.31565783,7.85186957,2.84530739,4.37833180,1.38757709,0.00000000,2.57700400,0.00000000
-5.30965483,8.05588317,2.90764517,4.50092503,1.41436837,0.00000000,2.63091983,0.00000000
-5.30365183,8.22719555,2.95985461,4.60505948,1.43644658,0.00000000,2.67309630,0.00000000
-5.29764882,8.36467218,3.00173665,4.68997073,1.45396495,0.00000000,2.70331198,0.00000000
-5.29164582,8.46790596,3.03338800,4.75527336,1.46718678,0.00000000,2.72162978,0.00000000
-5.28564282,8.53721688,3.05519664,4.80096418,1.47647456,0.00000000,2.72839297,0.00000000
-5.27963982,8.57362682,3.06782748,4.82741261,1.48227554,0.00000000,2.72421124,0.00000000
-5.27363682,8.57881032,3.07219824,4.83533855,1.48510429,0.00000000,2.70993715,0.00000000
-5.26763382,8.55502301,3.06944622,4.82577869,1.48552285,0.00000000,2.68663383,0.00000000
-5.26163082,8.50501050,3.06088704,4.80004254,1.48411913,0.00000000,2.65553513,0.00000000
-5.25562781,8.43190161,3.04796637,4.75966033,1.48148448,0.00000000,2.61799985,0.00000000
-5.24962481,8.33909024,3.03220659,4.70632487,1.47819108,0.00000000,2.57546192,0.00000000
-5.24362181,8.23011096,3.01514996,4.64183007,1.47477022,0.00000000,2.52937867,0.00000000
-5.23761881,8.10851370,2.99830048,4.56800890,1.47169206,0.00000000,2.48117929,0.00000000
-5.23161581,7.97774281,2.98306672,4.48667332,1.46934790,0.00000000,2.43221570,0.00000000
-5.22561281,7.84102572,2.97070754,4.39955917,1.46803548,0.00000000,2.38371801,0.00000000
-5.21960980,7.70127586,2.96228324,4.30827798,1.46794804,0.00000000,2.33675622,0.00000000
-5.21360680,7.56101374,2.95861378,4.21427791,1.46916751,0.00000000,2.29220985,0.00000000
-5.20760380,7.42230942,2.96024609,4.11881527,1.47166226,0.00000000,2.25074667,0.00000000
-5.20160080,7.28674807,2.96743169,4.02293740,1.47528946,0.00000000,2.21281109,0.00000000
-5.19559780,7.15541975,2.98011584,3.92747736,1.47980194,0.00000000,2.17862265,0.00000000
-5.18959480,7.02893277,2.99793861,3.83305996,1.48485954,0.00000000,2.14818424,0.00000000
-5.18359180,6.90744930,3.02024799,3.74011833,1.49004420,0.00000000,2.12129940,0.00000000
-5.17758879,6.79074049,3.04612468,3.64891948,1.49487844,0.00000000,2.09759764,0.00000000
-5.17158579,6.67825769,3.07441744,3.55959706,1.49884631,0.00000000,2.07656626,0.00000000
-5.16558279,6.56921542,3.10378779,3.47218895,1.50141601,0.00000000,2.05758709,0.00000000
-5.15957979,6.46268156,3.13276210,3.38667738,1.50206317,0.00000000,2.03997610,0.00000000
-5.15357679,6.35766974,3.15978901,3.30302902,1.50029377,0.00000000,2.02302406,0.00000000
-5.14757379,6.25322906,3.18329978,3.22123263,1.49566566,0.00000000,2.00603639,0.00000000
-5.14157079,6.14852665,3.20176910,3.14133212,1.48780793,0.00000000,1.98837016,0.00000000
-5.13556778,6.04291893,3.21377385,3.06345312,1.47643694,0.00000000,1.96946697,0.00000000
-5.12956478,5.93600842,3.21804741,2.98782162,1.46136865,0.00000000,1.94888015,0.00000000
-5.12356178,5.82768349,3.21352734,2.91477375,1.44252656,0.00000000,1.92629540,0.00000000
-5.11755878,5.71813980,3.19939463,2.84475626,1.41994498,0.00000000,1.90154425,0.00000000
-5.11155578,5.60788274,3.17510299,2.77831788,1.39376769,0.00000000,1.87461005,0.00000000
-5.10555278,5.49771172,3.14039726,2.71609215,1.36424191,0.00000000,1.84562660,0.00000000
-5.09954977,5.38868759,3.09532037,2.65877285,1.33170827,0.00000000,1.81486983,0.00000000
-5.09354677,5.28208562,3.04020904,2.60708358,1.29658707,0.00000000,1.78274340,0.00000000
-5.08754377,5.17933699,2.97567857,2.56174323,1.25936183,0.00000000,1.74975904,0.00000000
-5.08154077,5.08196231,2.90259796,2.52342936,1.22056082,0.00000000,1.71651298,0.00000000
-5.07553777,4.99150092,2.82205654,2.49274159,1.18073759,0.00000000,1.68365967,0.00000000
-5.06953477,4.90943981,2.73532413,2.47016704,1.14045145,0.00000000,1.65188418,0.00000000
-5.06353177,4.83714590,2.64380649,2.45604968,1.10024883,0.00000000,1.62187470,0.00000000
-5.05752876,4.77580513,2.54899823,2.45056530,1.06064630,0.00000000,1.59429633,0.00000000
-5.05152576,4.72637121,2.45243538,2.45370337,1.02211605,0.00000000,1.56976731,0.00000000
-5.04552276,4.68952637,2.35564953,2.46525688,0.98507427,0.00000000,1.54883869,0.00000000
-5.03951976,4.66565571,2.26012529,2.48482041,0.94987287,0.00000000,1.53197817,0.00000000
-5.03351676,4.65483583,2.16726279,2.51179688,0.91679461,0.00000000,1.51955851,0.00000000
-5.02751376,4.65683785,2.07834616,2.54541221,0.88605165,0.00000000,1.51185080,0.00000000
-5.02151076,4.67114383,1.99451886,2.58473741,0.85778720,0.00000000,1.50902245,0.00000000
-5.01550775,4.69697524,1.91676623,2.62871676,0.83208003,0.00000000,1.51113968,0.00000000
-5.00950475,4.73333114,1.84590503,2.67620074,0.80895104,0.00000000,1.51817390,0.00000000
-5.00350175,4.77903364,1.78257976,2.72598192,0.78837153,0.00000000,1.53001123,0.00000000
-4.99749875,4.83277757,1.72726470,2.77683215,0.77027230,0.00000000,1.54646440,0.00000000
-4.99149575,4.89318149,1.68027095,2.82753918,0.75455307,0.00000000,1.56728591,0.00000000
-4.98549275,4.95883685,1.64175699,2.87694096,0.74109139,0.00000000,1.59218166,0.00000000
-4.97948974,5.02835284,1.61174175,2.92395609,0.72975069,0.00000000,1.62082404,0.00000000
-4.97348674,5.10039446,1.59011875,2.96760920,0.72038692,0.00000000,1.65286366,0.00000000
-4.96748374,5.17371207,1.57667041,3.00705020,0.71285345,0.00000000,1.68793910,0.00000000
-4.96148074,5.24716145,1.57108139,3.04156686,0.70700421,0.00000000,1.72568419,0.00000000
-4.95547774,5.31971385,1.57295036,3.07059060,0.70269497,0.00000000,1.76573255,0.00000000
-4.94947474,5.39045630,1.58179985,3.09369560,0.69978292,0.00000000,1.80771948,0.00000000
-4.94347174,5.45858335,1.59708389,3.11059194,0.69812489,0.00000000,1.85128127,0.00000000
-4.93746873,5.52338153,1.61819375,3.12111360,0.69757452,0.00000000,1.89605242,0.00000000
