energy_ev,total_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.16048176,0.29149119,0.16192989,0.01336796,0.66181779,0.04660643,0.00000000
-5.99399700,1.23131937,0.31032823,0.16904548,0.01406271,0.70232603,0.04988910,0.00000000
-5.98799400,1.30128721,0.32890295,0.17589295,0.01478833,0.74237196,0.05314194,0.00000000
-5.98199100,1.36950751,0.34698681,0.18239572,0.01553923,0.78147419,0.05631317,0.00000000
-5.97598799,1.43511718,0.36435510,0.18848498,0.01631004,0.81915841,0.05935236,0.00000000
-5.96998499,1.49729117,0.38079388,0.19410198,0.01709573,0.85496992,0.06221214,0.00000000
-5.96398199,1.55526667,0.39610709,0.19920025,0.01789178,0.88848661,0.06484994,0.00000000
-5.95797899,1.60836713,0.41012371,0.20374761,0.01869435,0.91933197,0.06722962,0.00000000
-5.95197599,1.65602527,0.42270465,0.20772802,0.01950048,0.94718774,0.06932294,0.00000000
-5.94597299,1.69780422,0.43374907,0.21114313,0.02030835,0.97180551,0.07111087,0.00000000
-5.93996998,1.73341578,0.44319983,0.21401346,0.02111745,0.99301696,0.07258453,0.00000000
-5.93396698,1.76273494,0.45104786,0.21637914,0.02192887,1.01074225,0.07374587,0.00000000
-5.92796398,1.78580992,0.45733507,0.21830016,0.02274549,1.02499593,0.07460783,0.00000000
-5.92196098,1.80286699,0.46215577,0.21985605,0.02357215,1.03589024,0.07519420,0.00000000
-5.91595798,1.81430965,0.46565623,0.22114500,0.02441578,1.04363534,0.07553900,0.00000000
-5.90995498,1.82071194,0.46803241,0.22228228,0.02528546,1.04853637,0.07568534,0.00000000
-5.90395198,1.82280557,0.46952581,0.22339806,0.02619238,1.05098717,0.07568407,0.00000000
-5.89794897,1.82146136,0.47041746,0.22463463,0.02714967,1.05146084,0.07559184,0.00000000
-5.89194597,1.81766512,0.47102009,0.22614288,0.02817218,1.05049718,0.07546908,0.00000000
-5.88594297,1.81248869,0.47166884,0.22807841,0.02927606,1.04868737,0.07537757,0.00000000
-5.87993997,1.80705698,0.47271060,0.23059697,0.03047827,1.04665621,0.07537805,0.00000000
-5.87393697,1.80251190,0.47449244,0.23384966,0.03179590,1.04504261,0.07552770,0.00000000
-5.86793397,1.79997444,0.47734939,0.23797783,0.03324550,1.04447869,0.07587769,0.00000000
-5.86193097,1.80050608,0.48159208,0.24310780,0.03484219,1.04556829,0.07647096,0.00000000
-5.85592796,1.80507082,0.48749468,0.24934572,0.03659880,1.04886561,0.07734023,0.00000000
-5.84992496,1.81449925,0.49528351,0.25677258,0.03852497,1.05485466,0.07850637,0.00000000
-5.84392196,1.82945593,0.50512692,0.26543963,0.04062624,1.06393026,0.07997721,0.00000000
-5.83791896,1.85041124,0.51712676,0.27536442,0.04290324,1.07638135,0.08174686,0.00000000
-5.83191596,1.87761904,0.53131179,0.28652759,0.04535096,1.09237726,0.08379552,0.00000000
-5.82591296,1.91110084,0.54763352,0.29887061,0.04795821,1.11195750,0.08608986,0.00000000
-5.81990995,1.95063744,0.56596455,0.31229464,0.05070724,1.13502559,0.08858395,0.00000000
-5.81390695,1.99576851,0.58609957,0.32666059,0.05357361,1.16134727,0.09122068,0.00000000
-5.80790395,2.04580025,0.60775923,0.34179058,0.05652633,1.19055333,0.09393364,0.00000000
-5.80190095,2.09982126,0.63059654,0.35747068,0.05952823,1.22214709,0.09664943,0.00000000
-5.79589795,2.15672611,0.65420594,0.37345502,0.06253668,1.25551639,0.09929017,0.00000000
-5.78989495,2.21524605,0.67813440,0.38947130,0.06550451,1.28994988,0.10177633,0.00000000
-5.78389195,2.27398577,0.70189450,0.40522732,0.06838125,1.32465701,0.10402950,0.00000000
-5.77788894,2.33146524,0.72497876,0.42041863,0.07111447,1.35879115,0.10597521,0.00000000
-5.77188594,2.38616488,0.74687483,0.43473682,0.07365141,1.39147506,0.10754556,0.00000000
-5.76588294,2.43657267,0.76708093,0.44787844,0.07594061,1.42182784,0.10868157,0.00000000
-5.75987994,2.48123151,0.78512093,0.45955392,0.07793361,1.44899231,0.10933520,0.00000000
-5.75387694,2.51878497,0.80055857,0.46949646,0.07958665,1.47216190,0.10947092,0.00000000
-5.74787394,2.54801991,0.81301025,0.47747034,0.08086217,1.49060612,0.10906674,0.00000000
-5.74187094,2.56790442,0.82215593,0.48327848,0.08173026,1.50369349,0.10811481,0.00000000
-5.73586793,2.57761977,0.82774789,0.48676882,0.08216982,1.51091136,0.10662142,0.00000000
-5.72986493,2.57658532,0.82961695,0.48783938,0.08216942,1.51188182,0.10460654,0.00000000
-5.72386193,2.56447576,0.82767614,0.48644182,0.08172789,1.50637319,0.10210287,0.00000000
-5.71785893,2.54123008,0.82192178,0.48258329,0.08085460,1.49430682,0.09915453,0.00000000
-5.71185593,2.50705256,0.81243198,0.47632656,0.07956934,1.47575912,0.09581543,0.00000000
-5.70585293,2.46240566,0.79936289,0.46778852,0.07790191,1.45095889,0.09214740,0.00000000
-5.69984992,2.40799574,0.78294286,0.45713703,0.07589142,1.42028012,0.08821819,0.00000000
-5.69384692,2.34475213,0.76346490,0.44458640,0.07358527,1.38423090,0.08409949,0.00000000
-5.68784392,2.27380073,0.74127777,0.43039154,0.07103798,1.34343873,0.07986488,0.00000000
-5.68184092,2.19643315,0.71677612,0.41484121,0.06830970,1.29863303,0.07558800,0.00000000
-5.67583792,2.11407251,0.69038998,0.39825042,0.06546479,1.25062547,0.07134088,0.00000000
-5.66983492,2.02823710,0.66257402,0.38095246,0.06257012,1.20028877,0.06719241,0.00000000
-5.66383192,1.94050298,0.63379679,0.36329061,0.05969349,1.14853464,0.06320711,0.00000000
-5.65782891,1.85246639,0.60453025,0.34560996,0.05690198,1.09629151,0.05944413,0.00000000
-5.65182591,1.76570691,0.57523976,0.32824943,0.05426039,1.04448251,0.05595647,0.00000000
-5.64582291,1.68175208,0.54637467,0.31153419,0.05182978,0.99400429,0.05279037,0.00000000
-5.63981991,1.60204407,0.51835966,0.29576869,0.04966607,0.94570693,0.04998498,0.00000000
-5.63381691,1.52790886,0.49158682,0.28123039,0.04781883,0.90037540,0.04757207,0.00000000
-5.62781391,1.46052843,0.46640861,0.26816423,0.04633020,0.85871282,0.04557590,0.00000000
-5.62181091,1.40091622,0.44313170,0.25677802,0.04523395,0.82132573,0.04401318,0.00000000
-5.61580790,1.34989635,0.42201177,0.24723870,0.04455476,0.78871156,0.04289309,0.00000000
-5.60980490,1.30808669,0.40324923,0.23966952,0.04430762,0.76124865,0.04221735,0.00000000
-5.60380190,1.27588641,0.38698614,0.23414825,0.04449751,0.73918876,0.04198028,0.00000000
-5.59779890,1.25346812,0.37330406,0.23070635,0.04511919,0.72265251,0.04216903,0.00000000
-5.59179590,1.24077499,0.36222336,0.22932910,0.04615728,0.71162771,0.04276371,0.00000000
-5.58579290,1.23752313,0.35370363,0.22995689,0.04758651,0.70597087,0.04373772,0.00000000
-5.57978989,1.24320947,0.34764558,0.23248731,0.04937225,0.70541183,0.04505811,0.00000000
-5.57378689,1.25712515,0.34389429,0.23677841,0.05147122,0.70956167,0.04668606,0.00000000
-5.56778389,1.27837443,0.34224389,0.24265276,0.05383249,0.71792375,0.04857749,0.00000000
-5.56178089,1.30589879,0.34244364,0.24990249,0.05639862,0.72990776,0.05068380,0.00000000
-5.55577789,1.33850578,0.34420520,0.25829495,0.05910709,0.74484642,0.05295276,0.00000000
-5.54977489,1.37490198,0.34721105,0.26757908,0.06189183,0.76201451,0.05532952,0.00000000
-5.54377189,1.41372895,0.35112379,0.27749214,0.06468489,0.78064960,0.05775772,0.00000000
-5.53776888,1.45360123,0.35559596,0.28776672,0.06741824,0.79997384,0.06018069,0.00000000
-5.53176588,1.49314501,0.36028016,0.29813765,0.07002553,0.81921614,0.06254269,0.00000000
-5.52576288,1.53103600,0.36483909,0.30834874,0.07244385,0.83763384,0.06479019,0.00000000
-5.51975988,1.56603514,0.36895502,0.31815893,0.07461535,0.85453307,0.06687304,0.00000000
-5.51375688,1.59702083,0.37233848,0.32734778,0.07648877,0.86928714,0.06874562,0.00000000
-5.50775388,1.62301622,0.37473579,0.33571997,0.07802065,0.88135201,0.07036782,0.00000000
-5.50175088,1.64321074,0.37593503,0.34310874,0.07917636,0.89027849,0.07170585,0.00000000
-5.49574787,1.65697502,0.37577044,0.34937812,0.07993075,0.89572059,0.07273290,0.00000000
-5.48974487,1.66386874,0.37412495,0.35442393,0.08026852,0.89743979,0.07342952,0.00000000
-5.48374187,1.66364141,0.37093082,0.35817356,0.08018427,0.89530525,0.07378386,0.00000000
-5.47773887,1.65622637,0.36616855,0.36058466,0.07968214,0.88929006,0.07379166,0.00000000
-5.47173587,1.64172862,0.35986409,0.36164289,0.07877525,0.87946396,0.07345600,0.00000000
-5.46573287,1.62040748,0.35208454,0.36135881,0.07748489,0.86598291,0.07278705,0.00000000
-5.45972986,1.59265526,0.34293282,0.35976440,0.07583938,0.84907648,0.07180147,0.00000000
-5.45372686,1.55897321,0.33254134,0.35690921,0.07387299,0.82903344,0.07052195,0.00000000
-5.44772386,1.51994626,0.32106535,0.35285653,0.07162459,0.80618674,0.06897655,0.00000000
-5.44172086,1.47621787,0.30867604,0.34767979,0.06913642,0.78089836,0.06719813,0.00000000
-5.43571786,1.42846618,0.29555394,0.34145946,0.06645288,0.75354495,0.06522376,0.00000000
-5.42971486,1.37738267,0.28188276,0.33428039,0.06361937,0.72450489,0.06309425,0.00000000
-5.42371186,1.32365404,0.26784405,0.32622998,0.06068130,0.69414711,0.06085373,0.00000000
-5.41770885,1.26794782,0.25361277,0.31739701,0.05768333,0.66282220,0.05854936,0.00000000
-5.41170585,1.21090203,0.23935386,0.30787112,0.05466868,0.63085585,0.05623109,0.00000000
-5.40570285,1.15311875,0.22521995,0.29774296,0.05167868,0.59854467,0.05395154,0.00000000
-5.39969985,1.09516126,0.21135004,0.28710478,0.04875252,0.56615424,0.05176596,0.00000000
-5.39369685,1.03755421,0.19786919,0.27605136,0.04592707,0.53391908,0.04973216,0.00000000
-5.38769385,0.98078620,0.18488898,0.26468103,0.04323685,0.50204420,0.04791051,0.00000000
-5.38169085,0.92531378,0.17250855,0.25309665,0.04071411,0.47070787,0.04636384,0.00000000
-5.37568784,0.87156622,0.16081619,0.24140644,0.03838883,0.44006503,0.04515728,0.00000000
-5.36968484,0.81995025,0.14989100,0.22972428,0.03628887,0.41025101,0.04435797,0.00000000
-5.36368184,0.77085394,0.13980476,0.21816968,0.03443992,0.38138515,0.04403462,0.00000000
-5.35767884,0.72464936,0.13062350,0.20686714,0.03286549,0.35357405,0.04425686,0.00000000
-5.35167584,0.68169352,0.12240893,0.19594496,0.03158677,0.32691408,0.04509440,0.00000000
-5.34567284,0.64232747,0.11521938,0.18553350,0.03062235,0.30149324,0.04661593,0.00000000
-5.33966983,0.60687352,0.10911037,0.17576299,0.02998789,0.27739204,0.04888787,0.00000000
-5.33366683,0.57563070,0.10413462,0.16676101,0.02969565,0.25468371,0.05197287,0.00000000
-5.32766383,0.54886891,0.10034163,0.15864970,0.02975398,0.23343364,0.05592814,0.00000000
-5.32166083,0.52682200,0.09777677,0.15154299,0.03016673,0.21369828,0.06080373,0.00000000
-5.31565783,0.50968047,0.09648002,0.14554382,0.03093266,0.19552374,0.06664065,0.00000000
-5.30965483,0.49758421,0.09648438,0.14074172,0.03204489,0.17894417,0.07346914,0.00000000
-5.30365183,0.49061588,0.09781416,0.13721066,0.03349042,0.16398020,0.08130689,0.00000000
-5.29764882,0.48879544,0.10048310,0.13500751,0.03524974,0.15063764,0.09015761,0.00000000
-5.29164582,0.49207627,0.10449256,0.13417097,0.03729664,0.13890652,0.10000973,0.00000000
-5.28564282,0.50034322,0.10982991,0.13472126,0.03959822,0.12876058,0.11083552,0.00000000
-5.27963982,0.51341286,0.11646711,0.13666030,0.04211508,0.12015732,0.12259070,0.00000000
-5.27363682,0.53103589,0.12435966,0.13997259,0.04480185,0.11303867,0.13521441,0.00000000
-5.26763382,0.55290194,0.13344597,0.14462661,0.04760782,0.10733205,0.14862978,0.00000000
-5.26163082,0.57864630,0.14364723,0.15057660,0.05047800,0.10295208,0.16274498,0.00000000
-5.25562781,0.60785845,0.15486774,0.15776469,0.05335429,0.09980256,0.17745484,0.00000000
-5.24962481,0.64009195,0.16699580,0.16612316,0.05617682,0.09777878,0.19264277,0.00000000
-5.24362181,0.67487516,0.17990502,0.17557667,0.05888557,0.09676999,0.20818323,0.00000000
-5.23761881,0.71172232,0.19345619,0.18604434,0.06142192,0.09666193,0.22394427,0.00000000
-5.23161581,0.75014426,0.20749941,0.19744147,0.06373032,0.09733923,0.23979032,0.00000000
-5.22561281,0.78965836,0.22187658,0.20968082,0.06575988,0.09868771,0.25558493,0.00000000
