energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.51652272,-0.51652249,0.00104313,-0.00104313,0.06452199,-0.06452198,0.21918661,-0.21918667,0.04237782,-0.04237765,0.08323442,-0.08323440,0.09948900,-0.09948898,0.00365154,-0.00365153,0.22827007,-0.22826996
-5.99399700,0.51824430,-0.51824401,0.00114570,-0.00114570,0.06471698,-0.06471697,0.21370456,-0.21370462,0.04708034,-0.04708014,0.08432479,-0.08432476,0.09953656,-0.09953653,0.00379933,-0.00379932,0.22899979,-0.22899965
-5.98799400,0.52155841,-0.52155804,0.00126113,-0.00126113,0.06506590,-0.06506588,0.20807711,-0.20807716,0.05259727,-0.05259703,0.08576816,-0.08576813,0.09975864,-0.09975862,0.00398222,-0.00398221,0.23048273,-0.23048255
-5.98199100,0.52713379,-0.52713333,0.00139005,-0.00139005,0.06563920,-0.06563917,0.20256294,-0.20256298,0.05903021,-0.05902993,0.08767497,-0.08767493,0.10025367,-0.10025364,0.00420732,-0.00420730,0.23303073,-0.23303050
-5.97598799,0.53563543,-0.53563487,0.00153286,-0.00153286,0.06650473,-0.06650470,0.19742478,-0.19742480,0.06647987,-0.06647954,0.09015464,-0.09015459,0.10111503,-0.10111499,0.00448168,-0.00448167,0.23695691,-0.23695663
-5.96998499,0.54770693,-0.54770625,0.00168966,-0.00168966,0.06772555,-0.06772551,0.19292320,-0.19292320,0.07504363,-0.07504325,0.09331266,-0.09331259,0.10242790,-0.10242785,0.00481216,-0.00481214,0.24256797,-0.24256761
-5.96398199,0.56395381,-0.56395299,0.00186022,-0.00186021,0.06935780,-0.06935775,0.18931094,-0.18931091,0.08481293,-0.08481250,0.09724783,-0.09724775,0.10426626,-0.10426620,0.00520517,-0.00520515,0.25015684,-0.25015641
-5.95797899,0.58492843,-0.58492746,0.00204393,-0.00204392,0.07144889,-0.07144884,0.18682784,-0.18682778,0.09587074,-0.09587026,0.10204964,-0.10204955,0.10669054,-0.10669047,0.00566650,-0.00566647,0.25999610,-0.25999560
-5.95197599,0.61111700,-0.61111587,0.00223982,-0.00223981,0.07403597,-0.07403591,0.18569663,-0.18569653,0.10828911,-0.10828857,0.10779595,-0.10779585,0.10974567,-0.10974559,0.00620107,-0.00620104,0.27233218,-0.27233159
-5.94597299,0.64292896,-0.64292766,0.00244652,-0.00244651,0.07714470,-0.07714463,0.18611951,-0.18611937,0.12212690,-0.12212630,0.11455100,-0.11455088,0.11345983,-0.11345974,0.00681278,-0.00681274,0.28738062,-0.28737993
-5.93996998,0.68068904,-0.68068755,0.00266229,-0.00266229,0.08078844,-0.08078837,0.18827565,-0.18827546,0.13742787,-0.13742720,0.12236376,-0.12236361,0.11784388,-0.11784377,0.00750430,-0.00750427,0.30532239,-0.30532162
-5.93396698,0.72463220,-0.72463053,0.00288506,-0.00288506,0.08496785,-0.08496776,0.19231951,-0.19231927,0.15421908,-0.15421835,0.13126664,-0.13126648,0.12289140,-0.12289128,0.00827694,-0.00827691,0.32630156,-0.32630068
