energy_ev,total_up,total_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.22639083,-0.22639083,0.03589631,-0.03589631,0.00000000,-0.00000000,0.01812075,-0.01812075,0.02753520,-0.02753520,0.00395575,-0.00395575,0.08559266,-0.08559266
-5.99399700,0.25216805,-0.25216805,0.04003084,-0.04003084,0.00000000,-0.00000000,0.02018695,-0.02018695,0.03073966,-0.03073966,0.00440792,-0.00440792,0.09529490,-0.09529490
-5.98799400,0.27929565,-0.27929565,0.04439242,-0.04439242,0.00000000,-0.00000000,0.02233555,-0.02233555,0.03413978,-0.03413978,0.00487861,-0.00487861,0.10550189,-0.10550189
-5.98199100,0.30749955,-0.30749955,0.04893936,-0.04893936,0.00000000,-0.00000000,0.02454361,-0.02454361,0.03770518,-0.03770518,0.00536291,-0.00536291,0.11610857,-0.11610857
-5.97598799,0.33646385,-0.33646385,0.05362324,-0.05362324,0.00000000,-0.00000000,0.02678472,-0.02678473,0.04140033,-0.04140033,0.00585514,-0.00585514,0.12699416,-0.12699416
-5.96998499,0.36583480,-0.36583480,0.05838954,-0.05838954,0.00000000,-0.00000000,0.02902946,-0.02902946,0.04518482,-0.04518482,0.00634899,-0.00634899,0.13802367,-0.13802367
-5.96398199,0.39522656,-0.39522656,0.06317845,-0.06317845,0.00000000,-0.00000000,0.03124595,-0.03124595,0.04901394,-0.04901394,0.00683760,-0.00683760,0.14905008,-0.14905008
-5.95797899,0.42422855,-0.42422855,0.06792599,-0.06792599,0.00000000,-0.00000000,0.03340057,-0.03340058,0.05283940,-0.05283940,0.00731373,-0.00731373,0.15991721,-0.15991721
-5.95197599,0.45241450,-0.45241451,0.07256538,-0.07256538,0.00000000,-0.00000000,0.03545887,-0.03545887,0.05661027,-0.05661027,0.00776994,-0.00776994,0.17046309,-0.17046309
-5.94597299,0.47935260,-0.47935260,0.07702859,-0.07702860,0.00000000,-0.00000000,0.03738641,-0.03738641,0.06027409,-0.06027409,0.00819881,-0.00819881,0.18052387,-0.18052387
-5.93996998,0.50461660,-0.50461660,0.08124810,-0.08124810,0.00000000,-0.00000000,0.03914979,-0.03914979,0.06377812,-0.06377812,0.00859311,-0.00859311,0.18993804,-0.18993804
-5.93396698,0.52779739,-0.52779739,0.08515862,-0.08515862,0.00000000,-0.00000000,0.04071768,-0.04071768,0.06707064,-0.06707064,0.00894606,-0.00894606,0.19855080,-0.19855080
-5.92796398,0.54851459,-0.54851459,0.08869897,-0.08869897,0.00000000,-0.00000000,0.04206175,-0.04206175,0.07010232,-0.07010232,0.00925150,-0.00925150,0.20621846,-0.20621846
-5.92196098,0.56642757,-0.56642757,0.09181381,-0.09181381,0.00000000,-0.00000000,0.04315757,-0.04315757,0.07282760,-0.07282760,0.00950412,-0.00950412,0.21281264,-0.21281264
-5.91595798,0.58124565,-0.58124565,0.09445523,-0.09445523,0.00000000,-0.00000000,0.04398548,-0.04398548,0.07520590,-0.07520591,0.00969961,-0.00969961,0.21822410,-0.21822410
-5.90995498,0.59273674,-0.59273674,0.09658418,-0.09658418,0.00000000,-0.00000000,0.04453117,-0.04453118,0.07720284,-0.07720284,0.00983478,-0.00983478,0.22236604,-0.22236604
-5.90395198,0.60073425,-0.60073425,0.09817157,-0.09817157,0.00000000,-0.00000000,0.04478619,-0.04478619,0.07879112,-0.07879112,0.00990771,-0.00990771,0.22517667,-0.22517667
-5.89794897,0.60514189,-0.60514189,0.09919910,-0.09919910,0.00000000,-0.00000000,0.04474823,-0.04474823,0.07995138,-0.07995138,0.00991778,-0.00991778,0.22662106,-0.22662106
-5.89194597,0.60593609,-0.60593609,0.09965966,-0.09965966,0.00000000,-0.00000000,0.04442117,-0.04442117,0.08067261,-0.08067261,0.00986567,-0.00986567,0.22669205,-0.22669205
-5.88594297,0.60316603,-0.60316603,0.09955740,-0.09955740,0.00000000,-0.00000000,0.04381499,-0.04381499,0.08095239,-0.08095239,0.00975336,-0.00975336,0.22541023,-0.22541023
-5.87993997,0.59695124,-0.59695124,0.09890741,-0.09890741,0.00000000,-0.00000000,0.04294536,-0.04294536,0.08079689,-0.08079689,0.00958399,-0.00958399,0.22282310,-0.22282310
-5.87393697,0.58747697,-0.58747696,0.09773501,-0.09773501,0.00000000,-0.00000000,0.04183319,-0.04183319,0.08022045,-0.08022045,0.00936182,-0.00936182,0.21900327,-0.21900327
-5.86793397,0.57498742,-0.57498742,0.09607471,-0.09607471,0.00000000,-0.00000000,0.04050389,-0.04050389,0.07924508,-0.07924508,0.00909202,-0.00909202,0.21404598,-0.21404598
-5.86193097,0.55977740,-0.55977740,0.09396894,-0.09396894,0.00000000,-0.00000000,0.03898662,-0.03898662,0.07789957,-0.07789957,0.00878051,-0.00878051,0.20806594,-0.20806594
-5.85592796,0.54218259,-0.54218259,0.09146645,-0.09146645,0.00000000,-0.00000000,0.03731336,-0.03731336,0.07621852,-0.07621852,0.00843373,-0.00843373,0.20119371,-0.20119371
-5.84992496,0.52256898,-0.52256897,0.08862069,-0.08862069,0.00000000,-0.00000000,0.03551803,-0.03551803,0.07424119,-0.07424119,0.00805847,-0.00805847,0.19357177,-0.19357177
-5.84392196,0.50132197,-0.50132197,0.08548799,-0.08548799,0.00000000,-0.00000000,0.03363559,-0.03363559,0.07201027,-0.07201027,0.00766163,-0.00766163,0.18535046,-0.18535046
-5.83791896,0.47883557,-0.47883556,0.08212585,-0.08212586,0.00000000,-0.00000000,0.03170109,-0.03170109,0.06957063,-0.06957063,0.00725004,-0.00725004,0.17668393,-0.17668393
-5.83191596,0.45550210,-0.45550210,0.07859125,-0.07859125,0.00000000,-0.00000000,0.02974897,-0.02974897,0.06696804,-0.06696804,0.00683024,-0.00683024,0.16772636,-0.16772636
-5.82591296,0.43170296,-0.43170296,0.07493907,-0.07493907,0.00000000,-0.00000000,0.02781230,-0.02781231,0.06424810,-0.06424810,0.00640837,-0.00640837,0.15862851,-0.15862851
-5.81990995,0.40780051,-0.40780051,0.07122081,-0.07122081,0.00000000,-0.00000000,0.02592228,-0.02592228,0.06145511,-0.06145511,0.00598998,-0.00598998,0.14953472,-0.14953472
-5.81390695,0.38413164,-0.38413164,0.06748345,-0.06748345,0.00000000,-0.00000000,0.02410775,-0.02410775,0.05863127,-0.05863127,0.00557997,-0.00557997,0.14058052,-0.14058052
-5.80790395,0.36100285,-0.36100285,0.06376868,-0.06376868,0.00000000,-0.00000000,0.02239501,-0.02239501,0.05581595,-0.05581595,0.00518251,-0.00518251,0.13189081,-0.13189081
-5.80190095,0.33868718,-0.33868718,0.06011231,-0.06011231,0.00000000,-0.00000000,0.02080759,-0.02080759,0.05304521,-0.05304521,0.00480100,-0.00480100,0.12357869,-0.12357869
-5.79589795,0.31742273,-0.31742273,0.05654410,-0.05654410,0.00000000,-0.00000000,0.01936634,-0.01936634,0.05035154,-0.05035154,0.00443810,-0.00443810,0.11574489,-0.11574489
-5.78989495,0.29741280,-0.29741280,0.05308773,-0.05308773,0.00000000,-0.00000000,0.01808948,-0.01808948,0.04776376,-0.04776376,0.00409575,-0.00409575,0.10847774,-0.10847774
-5.78389195,0.27882741,-0.27882741,0.04976117,-0.04976117,0.00000000,-0.00000000,0.01699282,-0.01699282,0.04530711,-0.04530711,0.00377519,-0.00377519,0.10185368,-0.10185368
-5.77788894,0.26180589,-0.26180589,0.04657712,-0.04657712,0.00000000,-0.00000000,0.01609006,-0.01609006,0.04300352,-0.04300352,0.00347713,-0.00347713,0.09593810,-0.09593810
-5.77188594,0.24646045,-0.24646045,0.04354376,-0.04354376,0.00000000,-0.00000000,0.01539301,-0.01539301,0.04087199,-0.04087199,0.00320175,-0.00320175,0.09078648,-0.09078648
-5.76588294,0.23288017,-0.23288017,0.04066549,-0.04066549,0.00000000,-0.00000000,0.01491200,-0.01491200,0.03892905,-0.03892905,0.00294888,-0.00294888,0.08644575,-0.08644575
-5.75987994,0.22113539,-0.22113539,0.03794390,-0.03794390,0.00000000,-0.00000000,0.01465611,-0.01465611,0.03718929,-0.03718929,0.00271806,-0.00271806,0.08295560,-0.08295560
-5.75387694,0.21128199,-0.21128199,0.03537863,-0.03537863,0.00000000,-0.00000000,0.01463347,-0.01463347,0.03566590,-0.03566590,0.00250871,-0.00250871,0.08034991,-0.08034991
-5.74787394,0.20336551,-0.20336551,0.03296828,-0.03296828,0.00000000,-0.00000000,0.01485149,-0.01485149,0.03437115,-0.03437115,0.00232019,-0.00232019,0.07865795,-0.07865795
-5.74187094,0.19742472,-0.19742472,0.03071129,-0.03071129,0.00000000,-0.00000000,0.01531699,-0.01531699,0.03331691,-0.03331691,0.00215191,-0.00215191,0.07790540,-0.07790540
-5.73586793,0.19349477,-0.19349477,0.02860670,-0.02860670,0.00000000,-0.00000000,0.01603634,-0.01603634,0.03251501,-0.03251501,0.00200346,-0.00200346,0.07811523,-0.07811523
-5.72986493,0.19160945,-0.19160945,0.02665474,-0.02665474,0.00000000,-0.00000000,0.01701546,-0.01701546,0.03197756,-0.03197756,0.00187461,-0.00187461,0.07930823,-0.07930823
-5.72386193,0.19180295,-0.19180295,0.02485744,-0.02485744,0.00000000,-0.00000000,0.01825984,-0.01825984,0.03171716,-0.03171716,0.00176547,-0.00176547,0.08150337,-0.08150337
-5.71785893,0.19411075,-0.19411075,0.02321893,-0.02321893,0.00000000,-0.00000000,0.01977447,-0.01977447,0.03174702,-0.03174702,0.00167644,-0.00167644,0.08471785,-0.08471785
-5.71185593,0.19856999,-0.19856999,0.02174567,-0.02174567,0.00000000,-0.00000000,0.02156374,-0.02156374,0.03208093,-0.03208093,0.00160830,-0.00160830,0.08896707,-0.08896707
-5.70585293,0.20521915,-0.20521915,0.02044661,-0.02044661,0.00000000,-0.00000000,0.02363133,-0.02363133,0.03273325,-0.03273325,0.00156219,-0.00156219,0.09426433,-0.09426433
-5.69984992,0.21409740,-0.21409740,0.01933303,-0.01933303,0.00000000,-0.00000000,0.02598013,-0.02598013,0.03371869,-0.03371869,0.00153963,-0.00153963,0.10062051,-0.10062051
-5.69384692,0.22524346,-0.22524346,0.01841844,-0.01841844,0.00000000,-0.00000000,0.02861208,-0.02861208,0.03505210,-0.03505210,0.00154247,-0.00154247,0.10804364,-0.10804364
-5.68784392,0.23869426,-0.23869426,0.01771824,-0.01771824,0.00000000,-0.00000000,0.03152811,-0.03152811,0.03674818,-0.03674818,0.00157287,-0.00157287,0.11653850,-0.11653850
-5.68184092,0.25448343,-0.25448343,0.01724933,-0.01724933,0.00000000,-0.00000000,0.03472807,-0.03472807,0.03882112,-0.03882112,0.00163323,-0.00163323,0.12610622,-0.12610622
-5.67583792,0.27263961,-0.27263961,0.01702961,-0.01702961,0.00000000,-0.00000000,0.03821067,-0.03821067,0.04128425,-0.04128425,0.00172615,-0.00172615,0.13674390,-0.13674390
-5.66983492,0.29318473,-0.29318473,0.01707742,-0.01707742,0.00000000,-0.00000000,0.04197347,-0.04197347,0.04414955,-0.04414955,0.00185432,-0.00185432,0.14844431,-0.14844431
