energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.70271425,-1.70276487,0.00271474,-0.00271487,0.12662656,-0.12663095,1.15781995,-1.15785826,0.66691517,-0.66693930,0.90439024,-0.90441590,0.00000000,-0.00000000
-5.99399700,1.74836335,-1.74841234,0.00287215,-0.00287227,0.12842792,-0.12843201,1.19135094,-1.19138664,0.68963501,-0.68965898,0.93064605,-0.93067082,0.00000000,-0.00000000
-5.98799400,1.79149722,-1.79154414,0.00302162,-0.00302174,0.12990379,-0.12990756,1.22183770,-1.22187042,0.71171160,-0.71173516,0.95557235,-0.95559599,0.00000000,-0.00000000
-5.98199100,1.83165416,-1.83169853,0.00316137,-0.00316149,0.13103724,-0.13104066,1.24896295,-1.24899235,0.73288078,-0.73290369,0.97890891,-0.97893116,0.00000000,-0.00000000
-5.97598799,1.86838177,-1.86842312,0.00328999,-0.00329010,0.13181130,-0.13181433,1.27243215,-1.27245788,0.75287937,-0.75290135,1.00040341,-1.00042402,0.00000000,-0.00000000
-5.96998499,1.90125288,-1.90129075,0.00340645,-0.00340655,0.13220930,-0.13221191,1.29198052,-1.29200226,0.77145492,-0.77147572,1.01982016,-1.01983887,0.00000000,-0.00000000
-5.96398199,1.92988144,-1.92991537,0.00351019,-0.00351028,0.13221544,-0.13221761,1.30738031,-1.30739778,0.78837548,-0.78839484,1.03694867,-1.03696526,0.00000000,-0.00000000
-5.95797899,1.95393769,-1.95396726,0.00360112,-0.00360120,0.13181546,-0.13181714,1.31844807,-1.31846101,0.80343872,-0.80345641,1.05161170,-1.05162596,0.00000000,-0.00000000
-5.95197599,1.97316152,-1.97318637,0.00367967,-0.00367975,0.13099739,-0.13099856,1.32505141,-1.32505962,0.81647998,-0.81649580,1.06367212,-1.06368385,0.00000000,-0.00000000
-5.94597299,1.98737342,-1.98739325,0.00374676,-0.00374683,0.12975247,-0.12975311,1.32711491,-1.32711823,0.82737870,-0.82739249,1.07303833,-1.07304739,0.00000000,-0.00000000
-5.93996998,1.99648212,-1.99649669,0.00380380,-0.00380386,0.12807594,-0.12807603,1.32462473,-1.32462307,0.83606289,-0.83607451,1.07966781,-1.07967407,0.00000000,-0.00000000
-5.93396698,2.00048844,-2.00049759,0.00385257,-0.00385263,0.12596786,-0.12596739,1.31763165,-1.31762498,0.84251132,-0.84252069,1.08356849,-1.08357189,0.00000000,-0.00000000
-5.92796398,1.99948505,-1.99948870,0.00389524,-0.00389529,0.12343383,-0.12343279,1.30625204,-1.30624042,0.84675326,-0.84676034,1.08479791,-1.08479843,0.00000000,-0.00000000
-5.92196098,1.99365197,-1.99365015,0.00393420,-0.00393424,0.12048547,-0.12048386,1.29066676,-1.29065030,0.84886586,-0.84887065,1.08346003,-1.08345769,0.00000000,-0.00000000
-5.91595798,1.98324810,-1.98324089,0.00397198,-0.00397202,0.11714076,-0.11713860,1.27111767,-1.27109656,0.84896901,-0.84897156,1.07969987,-1.07969471,0.00000000,-0.00000000
-5.90995498,1.96859890,-1.96858648,0.00401114,-0.00401117,0.11342415,-0.11342145,1.24790190,-1.24787640,0.84721831,-0.84721872,1.07369622,-1.07368835,0.00000000,-0.00000000
-5.90395198,1.95008125,-1.95006386,0.00405411,-0.00405414,0.10936633,-0.10936314,1.22136409,-1.22133453,0.84379622,-0.84379459,1.06565282,-1.06564237,0.00000000,-0.00000000
-5.89794897,1.92810593,-1.92808387,0.00410308,-0.00410311,0.10500388,-0.10500023,1.19188674,-1.19185348,0.83890202,-0.83889850,1.05578843,-1.05577556,0.00000000,-0.00000000
-5.89194597,1.90309898,-1.90307258,0.00415990,-0.00415993,0.10037855,-0.10037448,1.15987919,-1.15984264,0.83274114,-0.83273589,1.04432641,-1.04431129,0.00000000,-0.00000000
-5.88594297,1.87548281,-1.87545246,0.00422590,-0.00422593,0.09553641,-0.09553199,1.12576571,-1.12572633,0.82551445,-0.82550764,1.03148431,-1.03146713,0.00000000,-0.00000000
-5.87993997,1.84565834,-1.84562442,0.00430188,-0.00430191,0.09052686,-0.09052215,1.08997336,-1.08993161,0.81740815,-0.81739995,1.01746414,-1.01744510,0.00000000,-0.00000000
-5.87393697,1.81398904,-1.81395194,0.00438797,-0.00438800,0.08540148,-0.08539654,1.05292001,-1.05287636,0.80858476,-0.80857534,1.00244387,-1.00242316,0.00000000,-0.00000000
-5.86793397,1.78078786,-1.78074798,0.00448365,-0.00448368,0.08021288,-0.08020777,1.01500334,-1.01495827,0.79917591,-0.79916543,0.98657063,-0.98654843,0.00000000,-0.00000000
-5.86193097,1.74630792,-1.74626563,0.00458768,-0.00458771,0.07501356,-0.07500836,0.97659126,-0.97654521,0.78927718,-0.78926578,0.96995599,-0.96993246,0.00000000,-0.00000000
-5.85592796,1.71073735,-1.71069299,0.00469816,-0.00469819,0.06985489,-0.06984966,0.93801413,-0.93796752,0.77894538,-0.77893317,0.95267364,-0.95264895,0.00000000,-0.00000000
-5.84992496,1.67419865,-1.67415255,0.00481257,-0.00481260,0.06478615,-0.06478098,0.89955926,-0.89951249,0.76819845,-0.76818553,0.93475961,-0.93473389,0.00000000,-0.00000000
-5.84392196,1.63675267,-1.63670514,0.00492785,-0.00492787,0.05985392,-0.05984887,0.86146789,-0.86142130,0.75701798,-0.75700443,0.91621494,-0.91618831,0.00000000,-0.00000000
-5.83791896,1.59840685,-1.59835817,0.00504051,-0.00504054,0.05510152,-0.05509667,0.82393452,-0.82388843,0.74535418,-0.74534008,0.89701067,-0.89698325,0.00000000,-0.00000000
-5.83191596,1.55912739,-1.55907783,0.00514678,-0.00514680,0.05056884,-0.05056425,0.78710883,-0.78706351,0.73313316,-0.73311857,0.87709496,-0.87706684,0.00000000,-0.00000000
-5.82591296,1.51885450,-1.51880434,0.00524273,-0.00524274,0.04629238,-0.04628811,0.75109973,-0.75105541,0.72026594,-0.72025093,0.85640174,-0.85637301,0.00000000,-0.00000000
-5.81990995,1.47752003,-1.47746955,0.00532443,-0.00532443,0.04230554,-0.04230167,0.71598133,-0.71593822,0.70665893,-0.70664357,0.83486055,-0.83483131,0.00000000,-0.00000000
-5.81390695,1.43506643,-1.43501596,0.00538813,-0.00538812,0.03863924,-0.03863585,0.68180041,-0.68175869,0.69222511,-0.69220950,0.81240692,-0.81237728,0.00000000,-0.00000000
