energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up
-6.00000000,1.89602643,0.09833425,1.71392123,0.01531848,0.00129816,0.15838851,0.00000000
-5.99399700,1.96025004,0.10383944,1.77379522,0.01635080,0.00135280,0.16017371,0.00000000
-5.98799400,2.02706639,0.11029223,1.83512488,0.01757767,0.00141678,0.16266763,0.00000000
-5.98199100,2.09549941,0.11765627,1.89700733,0.01899395,0.00148903,0.16581189,0.00000000
-5.97598799,2.16455012,0.12587800,1.95853383,0.02059153,0.00156835,0.16953891,0.00000000
-5.96998499,2.23321234,0.13488632,2.01880434,0.02235916,0.00165342,0.17377332,0.00000000
-5.96398199,2.30048749,0.14459267,2.07694082,0.02428226,0.00174279,0.17843342,0.00000000
-5.95797899,2.36539854,0.15489171,2.13209941,0.02634296,0.00183493,0.18343265,0.00000000
-5.95197599,2.42700303,0.16566249,2.18348130,0.02852011,0.00192827,0.18868111,0.00000000
-5.94597299,2.48440525,0.17677024,2.23034242,0.03078948,0.00202119,0.19408696,0.00000000
-5.93996998,2.53676779,0.18806876,2.27200211,0.03312411,0.00211210,0.19955804,0.00000000
-5.93396698,2.58332247,0.19940335,2.30785091,0.03549476,0.00219947,0.20500333,0.00000000
-5.92796398,2.62338102,0.21061419,2.33735771,0.03787041,0.00228186,0.21033455,0.00000000
-5.92196098,2.65634534,0.22154028,2.36007637,0.04021900,0.00235801,0.21546777,0.00000000
-5.91595798,2.68171749,0.23202354,2.37565179,0.04250819,0.00242680,0.22032503,0.00000000
-5.90995498,2.69910922,0.24191328,2.38382562,0.04470619,0.00248739,0.22483594,0.00000000
-5.90395198,2.70825075,0.25107053,2.38444127,0.04678267,0.00253916,0.22893928,0.00000000
-5.89794897,2.70899847,0.25937236,2.37744809,0.04870961,0.00258182,0.23258441,0.00000000
-5.89194597,2.70134114,0.26671589,2.36290450,0.05046228,0.00261536,0.23573264,0.00000000
-5.88594297,2.68540405,0.27302180,2.34097963,0.05201994,0.00264012,0.23835828,0.00000000
-5.87993997,2.66145060,0.27823720,2.31195317,0.05336667,0.00265673,0.24044949,0.00000000
