energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.13950933,0.02414994,0.00000000,0.00331463,0.25523766,0.05995231,0.51902939,1.30755434,0.04193986
-5.99399700,1.20686010,0.02511691,0.00000000,0.00381046,0.27122197,0.06356767,0.55037930,1.39326398,0.03903479
-5.98799400,1.27516559,0.02620273,0.00000000,0.00436679,0.28655281,0.06708234,0.58263994,1.47614592,0.03707354
-5.98199100,1.34328773,0.02737577,0.00000000,0.00498851,0.30093898,0.07042966,0.61532443,1.55479132,0.03598861
-5.97598799,1.41011400,0.02860458,0.00000000,0.00568042,0.31409776,0.07354490,0.64795470,1.62782974,0.03571281
-5.96998499,1.47458822,0.02985883,0.00000000,0.00644712,0.32576307,0.07636709,0.68007460,1.69396902,0.03618051
-5.96398199,1.53573932,0.03111024,0.00000000,0.00729288,0.33569338,0.07884081,0.71126209,1.75203385,0.03732845
-5.95797899,1.59270739,0.03233341,0.00000000,0.00822147,0.34367908,0.08091789,0.74114023,1.80100176,0.03909630
-5.95197599,1.64476582,0.03350663,0.00000000,0.00923605,0.34954902,0.08255878,0.76938644,1.84003474,0.04142690
-5.94597299,1.69133859,0.03461250,0.00000000,0.01033892,0.35317577,0.08373374,0.79573982,1.86850517,0.04426636
-5.93996998,1.73201232,0.03563845,0.00000000,0.01153144,0.35447965,0.08442367,0.82000607,1.88601497,0.04756398
-5.93396698,1.76654232,0.03657706,0.00000000,0.01281380,0.35343104,0.08462050,0.84206004,1.89240695,0.05127210
-5.92796398,1.79485266,0.03742621,0.00000000,0.01418486,0.35005110,0.08432737,0.86184569,1.88776799,0.05534602
-5.92196098,1.81703025,0.03818898,0.00000000,0.01564201,0.34441075,0.08355821,0.87937353,1.87242388,0.05974381
-5.91595798,1.83331331,0.03887342,0.00000000,0.01718105,0.33662800,0.08233714,0.89471580,1.84692604,0.06442638
-5.90995498,1.84407495,0.03949200,0.00000000,0.01879605,0.32686379,0.08069741,0.90799944,1.81203085,0.06935753
-5.90395198,1.84980256,0.04006099,0.00000000,0.02047931,0.31531651,0.07868008,0.91939745,1.76867259,0.07450423
-5.89794897,1.85107435,0.04059961,0.00000000,0.02222130,0.30221545,0.07633254,0.92911901,1.71793120,0.07983714
-5.89194597,1.84853407,0.04112905,0.00000000,0.02401071,0.28781356,0.07370679,0.93739888,1.66099652,0.08533123
-5.88594297,1.84286548,0.04167150,0.00000000,0.02583449,0.27237975,0.07085768,0.94448668,1.59913061,0.09096670
-5.87993997,1.83476770,0.04224907,0.00000000,0.02767805,0.25619116,0.06784115,0.95063674,1.53362984,0.09673022
-5.87393697,1.82493310,0.04288281,0.00000000,0.02952541,0.23952571,0.06471256,0.95609905,1.46578850,0.10261633
-5.86793397,1.81402867,0.04359182,0.00000000,0.03135950,0.22265525,0.06152513,0.96111185,1.39686550,0.10862925
-5.86193097,1.80268225,0.04439254,0.00000000,0.03316251,0.20583951,0.05832862,0.96589647,1.32805552,0.11478492
-5.85592796,1.79147413,0.04529819,0.00000000,0.03491635,0.18932122,0.05516824,0.97065472,1.26046563,0.12111344
-5.84992496,1.78093485,0.04631855,0.00000000,0.03660309,0.17332240,0.05208383,0.97556917,1.19509836,0.12766174
-5.84392196,1.77154922,0.04746000,0.00000000,0.03820554,0.15804203,0.04910937,0.98080628,1.13284155,0.13449652
-5.83791896,1.76376651,0.04872577,0.00000000,0.03970784,0.14365505,0.04627274,0.98652251,1.07446507,0.14170747
-5.83191596,1.75801626,0.05011662,0.00000000,0.04109608,0.13031273,0.04359580,0.99287303,1.02062424,0.14941056
-5.82591296,1.75472874,0.05163165,0.00000000,0.04235894,0.11814427,0.04109471,1.00002260,0.97186930,0.15775128
-5.81990995,1.75435893,0.05326938,0.00000000,0.04348830,0.10725947,0.03878046,1.00815796,0.92866008,0.16690777
-5.81390695,1.75741248,0.05502899,0.00000000,0.04447981,0.09775232,0.03665955,1.01750103,0.89138469,0.17709354
-5.80790395,1.76447165,0.05691159,0.00000000,0.04533338,0.08970529,0.03473482,1.02832182,0.86038101,0.18855954
-5.80190095,1.77621955,0.05892147,0.00000000,0.04605358,0.08319397,0.03300632,1.04095025,0.83595930,0.20159537
-5.79589795,1.79346054,0.06106731,0.00000000,0.04664990,0.07829200,0.03147217,1.05578554,0.81842469,0.21652927
-5.78989495,1.81713469,0.06336304,0.00000000,0.04713682,0.07507576,0.03012940,1.07330233,0.80809781,0.23372662
-5.78389195,1.84832473,0.06582854,0.00000000,0.04753376,0.07362878,0.02897467,1.09405249,0.80533226,0.25358679
-5.77788894,1.88825366,0.06848985,0.00000000,0.04786478,0.07404544,0.02800488,1.11866185,0.81052761,0.27653793
-5.77188594,1.93827213,0.07137900,0.00000000,0.04815807,0.07643385,0.02721763,1.14782120,0.82413680,0.30302965
-5.76588294,1.99983467,0.07453337,0.00000000,0.04844523,0.08091760,0.02661150,1.18227137,0.84666726,0.33352353
-5.75987994,2.07446485,0.07799449,0.00000000,0.04876044,0.08763626,0.02618614,1.22278245,0.87867514,0.36848145
-5.75387694,2.16370983,0.08180650,0.00000000,0.04913930,0.09674443,0.02594222,1.27012746,0.92075260,0.40835185
-5.74787394,2.26908552,0.08601407,0.00000000,0.04961765,0.10840930,0.02588122,1.32505143,0.97350824,0.45355439
-5.74187094,2.39201418,0.09066012,0.00000000,0.05023026,0.12280661,0.02600510,1.38823696,1.03754143,0.50446323
-5.73586793,2.53375699,0.09578321,0.00000000,0.05100946,0.14011514,0.02631585,1.46026784,1.11341130,0.56138968
-5.72986493,2.69534446,0.10141495,0.00000000,0.05198374,0.16050965,0.02681503,1.54159244,1.20160173,0.62456481
-5.72386193,2.87750806,0.10757741,0.00000000,0.05317650,0.18415261,0.02750329,1.63248897,1.30248387,0.69412285
-5.71785893,3.08061664,0.11428079,0.00000000,0.05460486,0.21118478,0.02837993,1.73303445,1.41627788,0.77008626
