energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.60260176,-1.60260125,0.68761327,-0.68761315,0.43178628,-0.43178609,0.09141290,-0.09141288,0.00205869,-0.00205869,0.00323228,-0.00323228,0.93950115,-0.93950087
-5.99399700,1.68176417,-1.68176360,0.71241317,-0.71241301,0.45414730,-0.45414709,0.09614093,-0.09614091,0.00221055,-0.00221055,0.00323339,-0.00323339,0.98489174,-0.98489142
-5.98799400,1.77171563,-1.77171499,0.74338997,-0.74338977,0.47913561,-0.47913538,0.10146810,-0.10146807,0.00237067,-0.00237067,0.00329865,-0.00329865,1.03683728,-1.03683691
-5.98199100,1.87074751,-1.87074682,0.77971176,-0.77971153,0.50629468,-0.50629443,0.10729610,-0.10729607,0.00253741,-0.00253741,0.00342180,-0.00342180,1.09433056,-1.09433017
-5.97598799,1.97718719,-1.97718646,0.82055331,-0.82055306,0.53518457,-0.53518431,0.11352286,-0.11352284,0.00270918,-0.00270917,0.00359658,-0.00359658,1.15638832,-1.15638790
-5.96998499,2.08944367,-2.08944291,0.86511630,-0.86511602,0.56539339,-0.56539312,0.12004572,-0.12004570,0.00288443,-0.00288443,0.00381673,-0.00381673,1.22207750,-1.22207706
-5.96398199,2.20604992,-2.20604914,0.91264827,-0.91264798,0.59654789,-0.59654761,0.12676468,-0.12676465,0.00306177,-0.00306177,0.00407605,-0.00407605,1.29053964,-1.29053918
-5.95797899,2.32570052,-2.32569972,0.96245976,-0.96245946,0.62832249,-0.62832221,0.13358553,-0.13358550,0.00324000,-0.00323999,0.00436844,-0.00436844,1.36101233,-1.36101187
-5.95197599,2.44728297,-2.44728217,1.01393894,-1.01393863,0.66044664,-0.66044636,0.14042280,-0.14042277,0.00341811,-0.00341811,0.00468788,-0.00468788,1.43284694,-1.43284647
-5.94597299,2.56990104,-2.56990024,1.06656336,-1.06656304,0.69270996,-0.69270968,0.14720233,-0.14720230,0.00359541,-0.00359541,0.00502849,-0.00502849,1.50552166,-1.50552119
-5.93996998,2.69288884,-2.69288803,1.11990805,-1.11990773,0.72496481,-0.72496452,0.15386337,-0.15386334,0.00377146,-0.00377146,0.00538455,-0.00538455,1.57864910,-1.57864863
-5.93396698,2.81581434,-2.81581353,1.17364968,-1.17364935,0.75712614,-0.75712586,0.16036012,-0.16036009,0.00394613,-0.00394613,0.00575050,-0.00575050,1.65197786,-1.65197739
-5.92796398,2.93847175,-2.93847095,1.22756622,-1.22756589,0.78916846,-0.78916817,0.16666252,-0.16666250,0.00411955,-0.00411955,0.00612101,-0.00612101,1.72538749,-1.72538702
-5.92196098,3.06086246,-3.06086165,1.28153216,-1.28153182,0.82111975,-0.82111947,0.17275637,-0.17275634,0.00429214,-0.00429214,0.00649096,-0.00649096,1.79887705,-1.79887658
-5.91595798,3.18316483,-3.18316403,1.33550903,-1.33550869,0.85305280,-0.85305251,0.17864254,-0.17864252,0.00446449,-0.00446449,0.00685550,-0.00685550,1.87254714,-1.87254667
-5.90995498,3.30569409,-3.30569328,1.38953178,-1.38953144,0.88507393,-0.88507364,0.18433550,-0.18433547,0.00463737,-0.00463737,0.00721006,-0.00721005,1.94657633,-1.94657586
-5.90395198,3.42885374,-3.42885292,1.44369134,-1.44369099,0.91730991,-0.91730963,0.18986095,-0.18986093,0.00481159,-0.00481159,0.00755036,-0.00755036,2.02119282,-2.02119235
-5.89794897,3.55308102,-3.55308019,1.49811428,-1.49811392,0.94989349,-0.94989320,0.19525295,-0.19525292,0.00498798,-0.00498798,0.00787246,-0.00787246,2.09664275,-2.09664227
-5.89194597,3.67878915,-3.67878831,1.55294058,-1.55294022,0.98294839,-0.98294809,0.20055037,-0.20055034,0.00516725,-0.00516725,0.00817274,-0.00817274,2.17315677,-2.17315628
-5.88594297,3.80630961,-3.80630874,1.60830073,-1.60830036,1.01657472,-1.01657441,0.20579308,-0.20579305,0.00534993,-0.00534993,0.00844789,-0.00844789,2.25091683,-2.25091633
-5.87993997,3.93583793,-3.93583705,1.66429342,-1.66429305,1.05083548,-1.05083517,0.21101794,-0.21101792,0.00553629,-0.00553629,0.00869495,-0.00869495,2.33002520,-2.33002469
-5.87393697,4.06738656,-4.06738566,1.72096537,-1.72096499,1.08574528,-1.08574497,0.21625488,-0.21625485,0.00572624,-0.00572624,0.00891129,-0.00891129,2.41047765,-2.41047713
-5.86793397,4.20074780,-4.20074689,1.77829446,-1.77829407,1.12126191,-1.12126159,0.22152323,-0.22152321,0.00591931,-0.00591931,0.00909459,-0.00909459,2.49214268,-2.49214216
-5.86193097,4.33546997,-4.33546904,1.83617746,-1.83617707,1.15728145,-1.15728113,0.22682867,-0.22682864,0.00611457,-0.00611457,0.00924284,-0.00924284,2.57474853,-2.57474800
-5.85592796,4.47084852,-4.47084759,1.89442327,-1.89442287,1.19363746,-1.19363713,0.23216075,-0.23216073,0.00631065,-0.00631065,0.00935438,-0.00935438,2.65787894,-2.65787840
-5.84992496,4.60593378,-4.60593285,1.95275227,-1.95275187,1.23010445,-1.23010412,0.23749147,-0.23749144,0.00650574,-0.00650574,0.00942783,-0.00942783,2.74097851,-2.74097797
-5.84392196,4.73955523,-4.73955431,2.01080214,-2.01080174,1.26640556,-1.26640523,0.24277469,-0.24277467,0.00669763,-0.00669762,0.00946216,-0.00946216,2.82336783,-2.82336729
-5.83791896,4.87036191,-4.87036101,2.06813986,-2.06813947,1.30222425,-1.30222392,0.24794673,-0.24794670,0.00688375,-0.00688375,0.00945668,-0.00945668,2.90426762,-2.90426709
-5.83191596,4.99687682,-4.99687594,2.12427943,-2.12427904,1.33721933,-1.33721900,0.25292793,-0.25292791,0.00706130,-0.00706130,0.00941104,-0.00941104,2.98283108,-2.98283057
-5.82591296,5.11756275,-5.11756190,2.17870422,-2.17870384,1.37104256,-1.37104224,0.25762532,-0.25762530,0.00722730,-0.00722730,0.00932527,-0.00932528,3.05818256,-3.05818207
-5.81990995,5.23089575,-5.23089494,2.23089271,-2.23089234,1.40335787,-1.40335755,0.26193603,-0.26193601,0.00737876,-0.00737876,0.00919984,-0.00919984,3.12946037,-3.12945990
-5.81390695,5.33544215,-5.33544139,2.28034596,-2.28034560,1.43386087,-1.43386056,0.26575146,-0.26575144,0.00751277,-0.00751277,0.00903560,-0.00903560,3.19586142,-3.19586098
-5.80790395,5.42993431,-5.42993360,2.32661507,-2.32661473,1.46229761,-1.46229731,0.26896193,-0.26896191,0.00762662,-0.00762662,0.00883387,-0.00883388,3.25668470,-3.25668429
-5.80190095,5.51334060,-5.51333994,2.36932681,-2.36932649,1.48848128,-1.48848098,0.27146150,-0.27146149,0.00771797,-0.00771797,0.00859644,-0.00859644,3.31137108,-3.31137069
