energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,5.14679529,0.01233391,0.72654626,2.31558110,1.44723421,0.05195398,2.60481270
-5.99399700,5.19810246,0.01207134,0.72549444,2.36203711,1.46130253,0.05222918,2.64651301
-5.98799400,5.23613248,0.01176819,0.72198078,2.40278103,1.47091854,0.05240401,2.68216622
-5.98199100,5.26027805,0.01142839,0.71618094,2.43706202,1.47598060,0.05248588,2.71101971
-5.97598799,5.27016848,0.01105704,0.70831445,2.46422514,1.47647518,0.05248448,2.73242831
-5.96998499,5.26567631,0.01066024,0.69863727,2.48373042,1.47247666,0.05241144,2.74587228
-5.96398199,5.24691978,0.01024496,0.68743299,2.49517034,1.46414481,0.05227991,2.75097384
-5.95797899,5.21426045,0.00981885,0.67500324,2.49828464,1.45171998,0.05210407,2.74751138
-5.95197599,5.16829560,0.00939002,0.66165752,2.49297156,1.43551602,0.05189863,2.73543025
-5.94597299,5.10984517,0.00896683,0.64770299,2.47929472,1.41591119,0.05167832,2.71484940
-5.93996998,5.03993329,0.00855764,0.63343461,2.45748497,1.39333715,0.05145744,2.68606304
-5.93396698,4.95976451,0.00817064,0.61912613,2.42793700,1.36826667,0.05124939,2.64953707
-5.92796398,4.87069560,0.00781360,0.60502223,2.39120057,1.34120024,0.05106626,2.60589994
-5.92196098,4.77420344,0.00749368,0.59133224,2.34796664,1.31265223,0.05091850,2.55592822
-5.91595798,4.67185022,0.00721728,0.57822560,2.29904900,1.28313715,0.05081469,2.50052714
-5.90995498,4.56524721,0.00698988,0.56582933,2.24536215,1.25315646,0.05076126,2.44070703
-5.90395198,4.45601840,0.00681592,0.55422756,2.18789646,1.22318647,0.05076250,2.37755636
-5.89794897,4.34576549,0.00669868,0.54346298,2.12769178,1.19366787,0.05082046,2.31221274
-5.89194597,4.23603559,0.00664028,0.53354035,2.06581083,1.16499722,0.05093501,2.24583297
-5.88594297,4.12829290,0.00664159,0.52443153,2.00331341,1.13752065,0.05110402,2.17956355
-5.87993997,4.02389549,0.00670226,0.51608200,1.94123281,1.11153007,0.05132351,2.11451288
-5.87393697,3.92407786,0.00682070,0.50841846,1.88055533,1.08726180,0.05158792,2.05172627
-5.86793397,3.82993995,0.00699419,0.50135697,1.82220360,1.06489765,0.05189038,1.99216477
-5.86193097,3.74244260,0.00721890,0.49481145,1.76702449,1.04456827,0.05222308,1.93668854
-5.85592796,3.66240923,0.00749002,0.48870195,1.71578153,1.02635831,0.05257758,1.88604529
-5.84992496,3.59053325,0.00780187,0.48296231,1.66915209,1.01031324,0.05294518,1.84086383
-5.84392196,3.52739021,0.00814803,0.47754693,1.62772872,0.99644719,0.05331727,1.80165269
-5.83791896,3.47345345,0.00852150,0.47243625,1.59202432,0.98475130,0.05368563,1.76880339
-5.83191596,3.42911206,0.00891483,0.46764075,1.56248002,0.97520230,0.05404276,1.74259768
-5.82591296,3.39468939,0.00932036,0.46320321,1.53947514,0.96777049,0.05438211,1.72321784
-5.81990995,3.37046085,0.00973033,0.45919928,1.52333797,0.96242698,0.05469829,1.71075920
-5.81390695,3.35666941,0.01013707,0.45573621,1.51435638,0.95914958,0.05498720,1.70524369
-5.80790395,3.35353753,0.01053321,0.45294992,1.51278733,0.95792725,0.05524613,1.70663346
-5.80190095,3.36127473,0.01091178,0.45100047,1.51886429,0.95876271,0.05547375,1.71484354
-5.79589795,3.38007980,0.01126639,0.45006623,1.53280199,0.96167337,0.05567003,1.72975282
-5.78989495,3.41013773,0.01159139,0.45033696,1.55479801,0.96669041,0.05583616,1.75121271
