energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.85080279,-1.85080214,0.04908501,-0.04908497,0.17720110,-0.17720089,0.69739979,-0.69740012,0.42321357,-0.42321297,0.55252888,-0.55252887,0.00000000,-0.00000000,0.04205047,-0.04205045,0.96649985,-0.96649986
-5.99399700,1.85338217,-1.85338173,0.05055676,-0.05055673,0.17958114,-0.17958097,0.68478322,-0.68478353,0.42824311,-0.42824262,0.55105078,-0.55105080,0.00000000,-0.00000000,0.04300771,-0.04300769,0.96469126,-0.96469134
-5.98799400,1.85252340,-1.85252319,0.05171613,-0.05171611,0.18136368,-0.18136356,0.67355206,-0.67355236,0.43169926,-0.43169888,0.54901322,-0.54901328,0.00000000,-0.00000000,0.04374662,-0.04374661,0.96167970,-0.96167986
-5.98199100,1.84748842,-1.84748847,0.05253716,-0.05253715,0.18247622,-0.18247615,0.66348247,-0.66348278,0.43340813,-0.43340788,0.54619496,-0.54619506,0.00000000,-0.00000000,0.04424569,-0.04424568,0.95708237,-0.95708261
-5.97598799,1.83763294,-1.83763326,0.05300075,-0.05300075,0.18286376,-0.18286374,0.65432277,-0.65432308,0.43324056,-0.43324043,0.54238958,-0.54238972,0.00000000,-0.00000000,0.04448828,-0.04448828,0.95054783,-0.95054817
-5.96998499,1.82243896,-1.82243957,0.05309532,-0.05309533,0.18249222,-0.18249226,0.64580657,-0.64580689,0.43111977,-0.43111977,0.53741481,-0.53741501,0.00000000,-0.00000000,0.04446327,-0.04446328,0.94177264,-0.94177308
-5.96398199,1.80154103,-1.80154192,0.05281728,-0.05281730,0.18135106,-0.18135115,0.63766510,-0.63766544,0.42702723,-0.42702736,0.53112021,-0.53112046,0.00000000,-0.00000000,0.04416547,-0.04416549,0.93051494,-0.93051548
-5.95797899,1.77474501,-1.77474618,0.05217112,-0.05217116,0.17945511,-0.17945525,0.62963819,-0.62963855,0.42100628,-0.42100652,0.52339284,-0.52339314,0.00000000,-0.00000000,0.04359582,-0.04359584,0.91660460,-0.91660524
-5.95197599,1.74203903,-1.74204046,0.05116930,-0.05116934,0.17684546,-0.17684564,0.62148357,-0.62148396,0.41316350,-0.41316385,0.51416085,-0.51416121,0.00000000,-0.00000000,0.04276134,-0.04276137,0.89994951,-0.89995025
-5.94597299,1.70359623,-1.70359789,0.04983174,-0.04983179,0.17358940,-0.17358961,0.61298445,-0.61298486,0.40366775,-0.40366820,0.50339506,-0.50339547,0.00000000,-0.00000000,0.04167489,-0.04167492,0.88053813,-0.88053897
-5.93996998,1.65976979,-1.65977165,0.04818517,-0.04818522,0.16977943,-0.16977967,0.60395522,-0.60395565,0.39274698,-0.39274751,0.49110840,-0.49110886,0.00000000,-0.00000000,0.04035464,-0.04035469,0.85843831,-0.85843923
-5.93396698,1.61108089,-1.61108292,0.04626217,-0.04626224,0.16553145,-0.16553172,0.59424539,-0.59424584,0.38068297,-0.38068355,0.47735368,-0.47735418,0.00000000,-0.00000000,0.03882347,-0.03882352,0.83379276,-0.83379376
-5.92796398,1.55820049,-1.55820264,0.04410009,-0.04410016,0.16098212,-0.16098240,0.58374189,-0.58374236,0.36780425,-0.36780487,0.46221978,-0.46222032,0.00000000,-0.00000000,0.03710808,-0.03710813,0.80681180,-0.80681286
-5.92196098,1.50192618,-1.50192840,0.04173975,-0.04173982,0.15628551,-0.15628579,0.57236990,-0.57237038,0.35447754,-0.35447816,0.44582674,-0.44582732,0.00000000,-0.00000000,0.03523811,-0.03523816,0.77776380,-0.77776490
-5.91595798,1.44315541,-1.44315764,0.03922419,-0.03922427,0.15160926,-0.15160952,0.56009246,-0.56009294,0.34109796,-0.34109856,0.42832004,-0.42832063,0.00000000,-0.00000000,0.03324514,-0.03324520,0.74696405,-0.74696518
