energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.63718805,-1.63718921,0.83596344,-0.83596368,0.34758729,-0.34758802,0.37011571,-0.37011611,0.16906814,-0.16906809,0.00490461,-0.00490461,0.25239736,-0.25239811,0.02528370,-0.02528360,0.62820208,-0.62820196
-5.99399700,1.62363789,-1.62363827,0.82514001,-0.82513966,0.33815522,-0.33815573,0.36071823,-0.36071851,0.17154758,-0.17154747,0.00516925,-0.00516925,0.24437396,-0.24437449,0.02748670,-0.02748659,0.62898551,-0.62898518
-5.98799400,1.62438170,-1.62438128,0.82496605,-0.82496509,0.33223383,-0.33223412,0.35398326,-0.35398340,0.17541697,-0.17541679,0.00545251,-0.00545250,0.23977516,-0.23977548,0.02983387,-0.02983375,0.63415026,-0.63414971
-5.98199100,1.63953576,-1.63953455,0.83593350,-0.83593191,0.32989733,-0.32989739,0.35002654,-0.35002654,0.18065578,-0.18065554,0.00574939,-0.00574938,0.23871195,-0.23871203,0.03229362,-0.03229350,0.64366349,-0.64366273
-5.97598799,1.66893045,-1.66892847,0.85835571,-0.85835349,0.33114863,-0.33114846,0.34890862,-0.34890849,0.18721673,-0.18721643,0.00605452,-0.00605452,0.24123404,-0.24123390,0.03483119,-0.03483107,0.65739994,-0.65739898
-5.96998499,1.71211742,-1.71211469,0.89235753,-0.89235467,0.33592192,-0.33592154,0.35063471,-0.35063444,0.19502628,-0.19502592,0.00636232,-0.00636231,0.24732996,-0.24732959,0.03740916,-0.03740905,0.67514489,-0.67514375
-5.96398199,1.76838281,-1.76837938,0.93786773,-0.93786426,0.34408646,-0.34408587,0.35515581,-0.35515541,0.20398582,-0.20398540,0.00666709,-0.00666708,0.25692773,-0.25692715,0.03998819,-0.03998807,0.69659966,-0.69659836
-5.95797899,1.83676628,-1.83676221,0.99461430,-0.99461023,0.35545125,-0.35545046,0.36237116,-0.36237065,0.21397364,-0.21397317,0.00696324,-0.00696323,0.26989652,-0.26989573,0.04252779,-0.04252768,0.72138926,-0.72138781
-5.95197599,1.91608515,-1.91608051,1.06212289,-1.06211826,0.36977065,-0.36976968,0.37213169,-0.37213106,0.22484751,-0.22484700,0.00724541,-0.00724541,0.28604897,-0.28604798,0.04498738,-0.04498728,0.74907199,-0.74907043
-5.94597299,2.00496326,-2.00495814,1.13971920,-1.13971406,0.38675077,-0.38674964,0.38424443,-0.38424370,0.23644787,-0.23644734,0.00750867,-0.00750867,0.30514454,-0.30514337,0.04732728,-0.04732719,0.77915071,-0.77914905
-5.93996998,2.10186389,-2.10185836,1.22653560,-1.22653001,0.40605658,-0.40605531,0.39847771,-0.39847690,0.24860157,-0.24860101,0.00774866,-0.00774865,0.32689390,-0.32689258,0.04950987,-0.04950978,0.81108525,-0.81108354
-5.93396698,2.20512609,-2.20512025,1.32152286,-1.32151689,0.42731975,-0.42731836,0.41456698,-0.41456610,0.26112592,-0.26112534,0.00796173,-0.00796172,0.35096447,-0.35096302,0.05150066,-0.05150058,0.84430585,-0.84430410
-5.92796398,2.31300397,-2.31299793,1.42346715,-1.42346088,0.45014707,-0.45014559,0.43222109,-0.43222017,0.27383316,-0.27383257,0.00814511,-0.00814510,0.37698715,-0.37698559,0.05326941,-0.05326935,0.87822697,-0.87822522
-5.92196098,2.42370804,-2.42370189,1.53101277,-1.53100628,0.47412959,-0.47412804,0.45112895,-0.45112799,0.28653495,-0.28653436,0.00829696,-0.00829695,0.40456442,-0.40456277,0.05479108,-0.05479102,0.91226134,-0.91225963
-5.91595798,2.53544786,-2.53544170,1.64269057,-1.64268395,0.49885217,-0.49885058,0.47096637,-0.47096539,0.29904702,-0.29904645,0.00841646,-0.00841645,0.43327968,-0.43327797,0.05604661,-0.05604657,0.94583379,-0.94583213
-5.90995498,2.64647526,-2.64646919,1.75695186,-1.75694521,0.52390359,-0.52390198,0.49140300,-0.49140202,0.31119360,-0.31119305,0.00850382,-0.00850381,0.46270776,-0.46270603,0.05702359,-0.05702356,0.97839442,-0.97839285
-5.90395198,2.75512695,-2.75512107,1.87220713,-1.87220054,0.54888675,-0.54888515,0.51210924,-0.51210827,0.32281160,-0.32281107,0.00856028,-0.00856027,0.49242648,-0.49242474,0.05771661,-0.05771659,1.00943099,-1.00942953
-5.89794897,2.85986557,-2.85985995,1.98686874,-1.98686231,0.57342911,-0.57342753,0.53276292,-0.53276199,0.33375441,-0.33375392,0.00858803,-0.00858803,0.52202884,-0.52202712,0.05812739,-0.05812738,1.03848002,-1.03847869
-5.89194597,2.95931793,-2.95931265,2.09939614,-2.09938997,0.59719275,-0.59719123,0.55305570,-0.55305481,0.34389514,-0.34389469,0.00859013,-0.00859013,0.55113567,-0.55113400,0.05826463,-0.05826463,1.06513642,-1.06513524
-5.88594297,3.05230928,-3.05230441,2.20834212,-2.20833628,0.61988403,-0.61988258,0.57269888,-0.57269805,0.35312921,-0.35312881,0.00857037,-0.00857036,0.57940810,-0.57940650,0.05814356,-0.05814358,1.08906129,-1.08906028
-5.87993997,3.13789229,-3.13788788,2.31239805,-2.31239261,0.64126223,-0.64126086,0.59142868,-0.59142792,0.36137614,-0.36137579,0.00853306,-0.00853306,0.60655944,-0.60655792,0.05778529,-0.05778531,1.10998781,-1.10998698
-5.87393697,3.21536968,-3.21536576,2.41043634,-2.41043137,0.66114703,-0.66114575,0.60901062,-0.60900994,0.36858057,-0.36858027,0.00848291,-0.00848290,0.63236591,-0.63236449,0.05721580,-0.05721584,1.12772483,-1.12772419
-5.86793397,3.28430923,-3.28430583,2.50154774,-2.50154327,0.67942432,-0.67942313,0.62524300,-0.62524242,0.37471233,-0.37471209,0.00842475,-0.00842474,0.65667563,-0.65667431,0.05646492,-0.05646496,1.14215818,-1.14215773
-5.86193097,3.34455054,-3.34454766,2.58507170,-2.58506776,0.69604999,-0.69604890,0.63995926,-0.63995877,0.37976568,-0.37976551,0.00836333,-0.00836332,0.67941539,-0.67941418,0.05556497,-0.05556502,1.15324960,-1.15324934
-5.85592796,3.39620273,-3.39620036,2.66061788,-2.66061449,0.71105150,-0.71105051,0.65302921,-0.65302882,0.38375769,-0.38375757,0.00830313,-0.00830313,0.70059469,-0.70059358,0.05454949,-0.05454954,1.16103323,-1.16103316
-5.84992496,3.43963289,-3.43963100,2.72807749,-2.72807463,0.72452688,-0.72452598,0.66435903,-0.66435874,0.38672576,-0.38672570,0.00824812,-0.00824812,0.72030666,-0.72030565,0.05345182,-0.05345187,1.16560991,-1.16561002
-5.84392196,3.47544531,-3.47544386,2.78762322,-2.78762087,0.73664108,-0.73664026,0.67389010,-0.67388992,0.38872458,-0.38872458,0.00820159,-0.00820158,0.73872571,-0.73872478,0.05230381,-0.05230386,1.16713930,-1.16713959
-5.83791896,3.50445205,-3.50445099,2.83969752,-2.83969564,0.74761969,-0.74761893,0.68159669,-0.68159661,0.38982245,-0.38982250,0.00816599,-0.00816598,0.75610161,-0.75610075,0.05113458,-0.05113463,1.16583031,-1.16583076
-5.83191596,3.52763562,-3.52763488,2.88498915,-2.88498767,0.75774005,-0.75773934,0.68748259,-0.68748261,0.39009729,-0.39009739,0.00814281,-0.00814280,0.77275026,-0.77274945,0.04996951,-0.04996956,1.16193004,-1.16193063
-5.82591296,3.54610515,-3.54610467,2.92439876,-2.92439762,0.76731999,-0.76731930,0.69157705,-0.69157716,0.38963246,-0.38963260,0.00813255,-0.00813254,0.78904113,-0.78904034,0.04882937,-0.04882942,1.15571182,-1.15571253
-5.81990995,3.56104758,-3.56104728,2.95899478,-2.95899391,0.77670456,-0.77670387,0.69392997,-0.69393017,0.38851258,-0.38851276,0.00813463,-0.00813462,0.80538195,-0.80538115,0.04772976,-0.04772981,1.14746277,-1.14746359
-5.81390695,3.57367575,-3.57367554,2.98996139,-2.98996070,0.78625119,-0.78625049,0.69460691,-0.69460719,0.38681965,-0.38681986,0.00814747,-0.00814746,0.82220098,-0.82220015,0.04668075,-0.04668079,1.13747150,-1.13747241
-5.80790395,3.58517544,-3.58517526,3.01854074,-3.01854013,0.79631383,-0.79631308,0.69368394,-0.69368430,0.38462945,-0.38462970,0.00816851,-0.00816850,0.83992763,-0.83992672,0.04568688,-0.04568692,1.12601642,-1.12601739
-5.80190095,3.59665355,-3.59665332,3.04597209,-3.04597149,0.80722659,-0.80722578,0.69124279,-0.69124322,0.38200866,-0.38200893,0.00819439,-0.00819438,0.85897203,-0.85897104,0.04474735,-0.04474739,1.11335519,-1.11335622
-5.79589795,3.60908932,-3.60908898,3.07343052,-3.07342984,0.81928768,-0.81928679,0.68736644,-0.68736693,0.37901255,-0.37901284,0.00822102,-0.00822101,0.87970459,-0.87970348,0.04385654,-0.04385657,1.09971587,-1.09971693
-5.78989495,3.62329078,-3.62329028,3.10196795,-3.10196712,0.83274418,-0.83274319,0.68213542,-0.68213596,0.37568351,-0.37568382,0.00824384,-0.00824383,0.90243604,-0.90243480,0.04300462,-0.04300465,1.08528991,-1.08529100
-5.78389195,3.63985799,-3.63985728,3.13245922,-3.13245820,0.84777830,-0.84777721,0.67562500,-0.67562559,0.37205041,-0.37205074,0.00825798,-0.00825797,0.92739919,-0.92739780,0.04217848,-0.04217851,1.07022749,-1.07022859
