energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,3.32319475,0.25031666,0.00000000,0.00350641,0.51221965,0.04852024,1.42046366,1.66412821,0.34505926
-5.99399700,3.24711370,0.24280495,0.00000000,0.00320199,0.51591245,0.04668645,1.37767965,1.64494770,0.33701224
-5.98799400,3.18024212,0.23631813,0.00000000,0.00293248,0.51997360,0.04500305,1.34001158,1.63112322,0.32931318
-5.98199100,3.12259700,0.23093018,0.00000000,0.00269862,0.52443418,0.04347509,1.30743120,1.62257084,0.32202584
-5.97598799,3.07415210,0.22671094,0.00000000,0.00250121,0.52932263,0.04210865,1.27988706,1.61913453,0.31522086
-5.96998499,3.03485533,0.22372808,0.00000000,0.00234125,0.53466431,0.04091079,1.25731625,1.62060123,0.30897351
-5.96398199,3.00464835,0.22204933,0.00000000,0.00221994,0.54048246,0.03988953,1.23965618,1.62671913,0.30336197
-5.95797899,2.98348836,0.22174463,0.00000000,0.00213881,0.54680038,0.03905379,1.22685653,1.63721893,0.29846588
-5.95197599,2.97137136,0.22288834,0.00000000,0.00209966,0.55364482,0.03841335,1.21889086,1.65183727,0.29436545
-5.94597299,2.96835600,0.22556121,0.00000000,0.00210468,0.56105018,0.03797878,1.21576760,1.67034154,0.29114101
-5.93996998,2.97458662,0.22985193,0.00000000,0.00215633,0.56906331,0.03776139,1.21753983,1.69255487,0.28887299
-5.93396698,2.99031365,0.23585829,0.00000000,0.00225737,0.57774829,0.03777320,1.22431317,1.71837992,0.28764209
-5.92796398,3.01590955,0.24368749,0.00000000,0.00241077,0.58719092,0.03802688,1.23625107,1.74782019,0.28752965
-5.92196098,3.05187813,0.25345555,0.00000000,0.00261960,0.59750216,0.03853561,1.25357667,1.78099709,0.28861788
-5.91595798,3.09885527,0.26528570,0.00000000,0.00288696,0.60882028,0.03931301,1.27657053,1.81816162,0.29098975
-5.90995498,3.15759954,0.27930543,0.00000000,0.00321575,0.62131113,0.04037281,1.30556372,1.85969912,0.29472848
-5.90395198,3.22897137,0.29564234,0.00000000,0.00360861,0.63516632,0.04172863,1.34092577,1.90612630,0.29991623
-5.89794897,3.31390026,0.31441865,0.00000000,0.00406765,0.65059902,0.04339347,1.38304743,1.95807974,0.30663215
-5.89194597,3.41334034,0.33574448,0.00000000,0.00459427,0.66783748,0.04537922,1.43231851,2.01629587,0.31494952
-5.88594297,3.52821520,0.35971015,0.00000000,0.00518898,0.68711626,0.04769596,1.48910127,2.08158240,0.32493210
-5.87993997,3.65935409,0.38637764,0.00000000,0.00585119,0.70866563,0.05035127,1.55370042,2.15478237,0.33662987
-5.87393697,3.80742202,0.41577168,0.00000000,0.00657900,0.73269945,0.05334933,1.62633088,2.23673181,0.35007420
-5.86793397,3.97284721,0.44787091,0.00000000,0.00736904,0.75940224,0.05669015,1.70708492,2.32821280,0.36527290
-5.86193097,4.15574993,0.48259950,0.00000000,0.00821636,0.78891608,0.06036861,1.79590043,2.42990412,0.38220529
-5.85592796,4.35587667,0.51981985,0.00000000,0.00911431,0.82132813,0.06437371,1.89253214,2.54233173,0.40081788
-5.84992496,4.57254408,0.55932689,0.00000000,0.01005449,0.85665949,0.06868784,1.99652772,2.66582153,0.42102077
-5.84392196,4.80459649,0.60084433,0.00000000,0.01102684,0.89485623,0.07328620,2.10721045,2.80045700,0.44268537
-5.83791896,5.05038057,0.64402351,0.00000000,0.01201964,0.93578306,0.07813643,2.22366992,2.94604394,0.46564361
-5.83191596,5.30773989,0.68844497,0.00000000,0.01301975,0.97922044,0.08319844,2.34476206,3.10208450,0.48968900
-5.82591296,5.57403108,0.73362299,0.00000000,0.01401280,1.02486516,0.08842454,2.46911908,3.26776212,0.51457958
-5.81990995,5.84616238,0.77901322,0.00000000,0.01498350,1.07233490,0.09375986,2.59516961,3.44193869,0.54004299
-5.81390695,6.12065419,0.82402317,0.00000000,0.01591599,1.12117651,0.09914296,2.72116882,3.62316457,0.56578342
-5.80790395,6.39371987,0.86802546,0.00000000,0.01679424,1.17087791,0.10450687,2.84523764,3.80970158,0.59149047
-5.80190095,6.66136427,0.91037319,0.00000000,0.01760252,1.22088318,0.10978024,2.96540976,3.99955852,0.61684947
-5.79589795,6.91949617,0.95041712,0.00000000,0.01832581,1.27061024,0.11488885,3.07968481,4.19053816,0.64155289
-5.78989495,7.16405016,0.98752378,0.00000000,0.01895029,1.31947035,0.11975722,3.18608542,4.38029391,0.66531249
-5.78389195,7.39111307,1.02109399,0.00000000,0.01946375,1.36688873,0.12431039,3.28271607,4.56639443,0.68787151
-5.77788894,7.59704933,1.05058086,0.00000000,0.01985598,1.41232520,0.12847573,3.36782109,4.74639341,0.70901636
-5.77188594,7.77862011,1.07550652,0.00000000,0.02011910,1.45529406,0.13218487,3.43983957,4.91790192,0.72858725
-5.76588294,7.93309096,1.09547706,0.00000000,0.02024785,1.49538219,0.13537545,3.49745463,5.07866052,0.74648721
-5.75987994,8.05832321,1.11019471,0.00000000,0.02023971,1.53226459,0.13799283,3.53963531,5.22660803,0.76268877
-5.75387694,8.15284533,1.11946710,0.00000000,0.02009503,1.56571655,0.13999158,3.56566905,5.35994427,0.77723821
-5.74787394,8.21590096,1.12321292,0.00000000,0.01981696,1.59562184,0.14133680,3.57518368,5.47718408,0.79025665
-5.74187094,8.24747170,1.12146394,0.00000000,0.01941138,1.62197655,0.14200512,3.56815797,5.57720041,0.80193806
