energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.62477642,0.12635314,0.00392324,1.16295198,1.22435473,1.44489775,0.00000000
-5.99399700,2.67914909,0.12958902,0.00398797,1.19704194,1.24256070,1.47421885,0.00000000
-5.98799400,2.72230821,0.13247081,0.00403121,1.22813571,1.25450853,1.49728212,0.00000000
-5.98199100,2.75354120,0.13494813,0.00405241,1.25587252,1.25994571,1.51367357,0.00000000
-5.97598799,2.77234117,0.13697720,0.00405139,1.27992309,1.25874182,1.52309403,0.00000000
-5.96998499,2.77841566,0.13852173,0.00402840,1.29999298,1.25089126,1.52536497,0.00000000
-5.96398199,2.77168892,0.13955350,0.00398405,1.31582537,1.23651195,1.52043081,0.00000000
-5.95797899,2.75229811,0.14005272,0.00391933,1.32720355,1.21584045,1.50835780,0.00000000
-5.95197599,2.72058381,0.14000813,0.00383555,1.33395320,1.18922371,1.48932955,0.00000000
-5.94597299,2.67707567,0.13941687,0.00373430,1.33594441,1.15710794,1.46363974,0.00000000
-5.93996998,2.62247413,0.13828416,0.00361744,1.33309367,1.12002510,1.43168231,0.00000000
-5.93396698,2.55762904,0.13662287,0.00348700,1.32536571,1.07857780,1.39393967,0.00000000
-5.92796398,2.48351637,0.13445292,0.00334515,1.31277524,1.03342313,1.35096948,0.00000000
-5.92196098,2.40121386,0.13180068,0.00319418,1.29538845,0.98525614,1.30339059,0.00000000
-5.91595798,2.31187663,0.12869825,0.00303638,1.27332422,0.93479354,1.25186852,0.00000000
-5.90995498,2.21671348,0.12518283,0.00287409,1.24675484,0.88275831,1.19710119,0.00000000
-5.90395198,2.11696450,0.12129601,0.00270958,1.21590612,0.82986545,1.13980511,0.00000000
-5.89794897,2.01388058,0.11708311,0.00254504,1.18105666,0.77680948,1.08070247,0.00000000
-5.89194597,1.90870503,0.11259257,0.00238258,1.14253629,0.72425370,1.02050949,0.00000000
-5.88594297,1.80265751,0.10787536,0.00222416,1.10072333,0.67282157,0.95992602,0.00000000
-5.87993997,1.69692022,0.10298437,0.00207161,1.05604084,0.62309004,0.89962667,0.00000000
-5.87393697,1.59262632,0.09797386,0.00192658,1.00895160,0.57558487,0.84025337,0.00000000
-5.86793397,1.49085033,0.09289890,0.00179059,0.95995205,0.53077770,0.78240945,0.00000000
-5.86193097,1.39260020,0.08781474,0.00166495,0.90956512,0.48908475,0.72665499,0.00000000
-5.85592796,1.29881073,0.08277628,0.00155082,0.85833221,0.45086676,0.67350344,0.00000000
-5.84992496,1.21033824,0.07783736,0.00144916,0.80680449,0.41642996,0.62341934,0.00000000
-5.84392196,1.12795583,0.07305016,0.00136077,0.75553371,0.38602775,0.57681683,0.00000000
-5.83791896,1.05234943,0.06846447,0.00128627,0.70506287,0.35986275,0.53405896,0.00000000
-5.83191596,0.98411413,0.06412699,0.00122608,0.65591696,0.33808909,0.49545745,0.00000000
-5.82591296,0.92375081,0.06008064,0.00118048,0.60859417,0.32081452,0.46127292,0.00000000
-5.81990995,0.87166311,0.05636382,0.00114954,0.56355771,0.30810242,0.43171528,0.00000000
-5.81390695,0.82815464,0.05300975,0.00113317,0.52122853,0.29997339,0.40694431,0.00000000
-5.80790395,0.79342659,0.05004585,0.00113108,0.48197922,0.29640652,0.38707025,0.00000000
-5.80190095,0.76757587,0.04749318,0.00114282,0.44612908,0.29734026,0.37215448,0.00000000
-5.79589795,0.75059397,0.04536598,0.00116775,0.41394051,0.30267292,0.36221006,0.00000000
-5.78989495,0.74236671,0.04367134,0.00120509,0.38561688,0.31226310,0.35720239,0.00000000
-5.78389195,0.74267498,0.04240898,0.00125384,0.36130152,0.32592984,0.35704977,0.00000000
-5.77788894,0.75119689,0.04157119,0.00131290,0.34107810,0.34345303,0.36162412,0.00000000
-5.77188594,0.76751107,0.04114295,0.00138100,0.32497203,0.36457389,0.37075169,0.00000000
-5.76588294,0.79110162,0.04110216,0.00145674,0.31295277,0.38899592,0.38421407,0.00000000
-5.75987994,0.82136441,0.04142006,0.00153865,0.30493692,0.41638635,0.40174939,0.00000000
-5.75387694,0.85761492,0.04206184,0.00162514,0.30079180,0.44637822,0.42305377,0.00000000
-5.74787394,0.89909745,0.04298734,0.00171461,0.30033945,0.47857311,0.44778327,0.00000000
-5.74187094,0.94499552,0.04415194,0.00180542,0.30336074,0.51254475,0.47555621,0.00000000
-5.73586793,0.99444336,0.04550747,0.00189591,0.30959961,0.54784317,0.50595594,0.00000000
-5.72986493,1.04653821,0.04700334,0.00198451,0.31876724,0.58399977,0.53853421,0.00000000
-5.72386193,1.10035323,0.04858759,0.00206969,0.33054607,0.62053277,0.57281504,0.00000000
-5.71785893,1.15495061,0.05020806,0.00215000,0.34459376,0.65695337,0.60829915,0.00000000
-5.71185593,1.20939481,0.05181356,0.00222415,0.36054704,0.69277207,0.64446900,0.00000000
-5.70585293,1.26276553,0.05335490,0.00229094,0.37802550,0.72750538,0.68079428,0.00000000
-5.69984992,1.31417030,0.05478596,0.00234938,0.39663542,0.76068245,0.71673804,0.00000000
-5.69384692,1.36275630,0.05606464,0.00239860,0.41597377,0.79185166,0.75176318,0.00000000
-5.68784392,1.40772153,0.05715364,0.00243794,0.43563238,0.82058691,0.78533942,0.00000000
