energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.68976558,0.02224304,0.06550260,0.03220110,1.02365906,0.48391039,0.16338317,0.35620644,0.09232970
-5.99399700,1.88347039,0.02490706,0.07338095,0.03595861,1.14054616,0.53866472,0.18223263,0.39669611,0.10326979
-5.98799400,2.08711979,0.02769655,0.08188774,0.03991782,1.26298564,0.59560504,0.20194470,0.43896044,0.11502769
-5.98199100,2.29875354,0.03058382,0.09096890,0.04404384,1.38975279,0.65411504,0.22232906,0.48258798,0.12751390
-5.97598799,2.51610742,0.03353637,0.10055723,0.04829553,1.51944123,0.71348732,0.24316605,0.52710744,0.14062097
-5.96998499,2.73664445,0.03651745,0.11057239,0.05262603,1.65048419,0.77293555,0.26421013,0.57199578,0.15422410
-5.96398199,2.95759978,0.03948672,0.12092137,0.05698351,1.78118432,0.83161077,0.28519467,0.61668891,0.16818254
-5.95797899,3.17603858,0.04240122,0.13149939,0.06131213,1.90975138,0.88862151,0.30583805,0.66059513,0.18234174
-5.95197599,3.38892551,0.04521647,0.14219138,0.06555334,2.03434696,0.94305698,0.32585083,0.70311049,0.19653622
-5.94597299,3.59320356,0.04788776,0.15287378,0.06964719,2.15313464,0.99401285,0.34494384,0.74363604,0.21059310
-5.93996998,3.78587958,0.05037150,0.16341692,0.07353389,2.26433387,1.04061836,0.36283681,0.78159597,0.22433632
-5.93396698,3.96411317,0.05262666,0.17368772,0.07715545,2.36627543,1.08206390,0.37926731,0.81645606,0.23759124
-5.92796398,4.12530533,0.05461615,0.18355270,0.08045728,2.45745606,1.11762778,0.39399949,0.84774178,0.25018957
-5.92196098,4.26718315,0.05630815,0.19288125,0.08338976,2.53658997,1.14670100,0.40683233,0.87505499,0.26197450
-5.91595798,4.38787670,0.05767729,0.20154897,0.08590971,2.60265486,1.16880898,0.41760704,0.89808874,0.27280565
-5.90995498,4.48598462,0.05870558,0.20944104,0.08798166,2.65493012,1.18362904,0.42621316,0.91663935,0.28256388
-5.90395198,4.56062547,0.05938318,0.21645546,0.08957890,2.69302558,1.19100301,0.43259310,0.93061513,0.29115552
-5.89794897,4.61147213,0.05970876,0.22250602,0.09068421,2.71689917,1.19094416,0.43674496,0.94004146,0.29851608
-5.89194597,4.63876776,0.05968958,0.22752493,0.09129030,2.72686260,1.18363820,0.43872335,0.94506185,0.30461302
-5.88594297,4.64332237,0.05934126,0.23146502,0.09139989,2.72357475,1.16943828,0.43863817,0.94593487,0.30944766
-5.87993997,4.62649003,0.05868719,0.23430131,0.09102549,2.70802288,1.14885421,0.43665153,0.94302713,0.31305605
-5.87393697,4.59012778,0.05775762,0.23603199,0.09018881,2.68149246,1.12253636,0.43297269,0.93680258,0.31550872
-5.86793397,4.53653792,0.05658852,0.23667875,0.08891986,2.64552706,1.09125510,0.42785145,0.92780854,0.31690934
-5.86193097,4.46839637,0.05522021,0.23628638,0.08725588,2.60187994,1.05587667,0.42157012,0.91665906,0.31739239
-5.85592796,4.38867019,0.05369586,0.23492173,0.08523995,2.55245963,1.01733657,0.41443461,0.90401643,0.31711981
-5.84992496,4.30052788,0.05205987,0.23267195,0.08291957,2.49927178,0.97661168,0.40676478,0.89057149,0.31627685
-5.84392196,4.20724624,0.05035629,0.22964224,0.08034513,2.44435991,0.93469226,0.39888473,0.87702357,0.31506723
-5.83791896,4.11211779,0.04862731,0.22595299,0.07756837,2.38974742,0.89255500,0.39111327,0.86406097,0.31370781
-5.83191596,4.01836217,0.04691188,0.22173662,0.07464092,2.33738325,0.85113803,0.38375499,0.85234256,0.31242299
-5.82591296,3.92904518,0.04524451,0.21713405,0.07161301,2.28909328,0.81131882,0.37709242,0.84248128,0.31143901
-5.81990995,3.84700799,0.04365437,0.21229111,0.06853233,2.24653908,0.77389565,0.37137931,0.83503005,0.31097840
-5.81390695,3.77480883,0.04216462,0.20735480,0.06544310,2.21118532,0.73957287,0.36683548,0.83047044,0.31125473
-5.80790395,3.71467872,0.04079208,0.20246978,0.06238548,2.18427651,0.70895040,0.36364329,0.82920440,0.31246783
-5.80190095,3.66849178,0.03954718,0.19777501,0.05939511,2.16682355,0.68251725,0.36194574,0.83154909,0.31479971
-5.79589795,3.63775023,0.03843422,0.19340070,0.05650311,2.15959951,0.66064899,0.36184625,0.83773477,0.31841108
-5.78989495,3.62358332,0.03745188,0.18946574,0.05373612,2.16314437,0.64360866,0.36340991,0.84790556,0.32343880
-5.78389195,3.62675876,0.03659397,0.18607555,0.05111676,2.17777727,0.63155077,0.36666614,0.86212270,0.32999405
-5.77788894,3.64770492,0.03585036,0.18332040,0.04866412,2.20361516,0.62452772,0.37161234,0.88036991,0.33816135
-5.77188594,3.68654139,0.03520803,0.18127438,0.04639448,2.24059614,0.62249805,0.37821844,0.90256037,0.34799830
-5.76588294,3.74311542,0.03465219,0.17999472,0.04432210,2.28850570,0.62533598,0.38643192,0.92854479,0.35953601
-5.75987994,3.81704167,0.03416744,0.17952175,0.04245994,2.34700424,0.63284166,0.39618297,0.95812006,0.37278002
-5.75387694,3.90774269,0.03373883,0.17987911,0.04082046,2.41565409,0.64475161,0.40738950,0.99103801,0.38771171
-5.74787394,4.01448758,0.03335287,0.18107452,0.03941628,2.49394444,0.66074901,0.41996183,1.02701374,0.40428989
-5.74187094,4.13642699,0.03299836,0.18310061,0.03826063,2.58131305,0.68047356,0.43380654,1.06573332,0.42245260
-5.73586793,4.27262236,0.03266711,0.18593617,0.03736769,2.67716346,0.70353066,0.44882953,1.10686042,0.44211882
-5.72986493,4.42206854,0.03235440,0.18954730,0.03675266,2.78087715,0.72949987,0.46493807,1.15004186,0.46319007
-5.72386193,4.58370859,0.03205923,0.19388877,0.03643166,2.89182029,0.75794255,0.48204164,1.19491183,0.48555175
-5.71785893,4.75644088,0.03178439,0.19890527,0.03642124,3.00934485,0.78840880,0.50005183,1.24109499,0.50907421
-5.71185593,4.93911848,0.03153626,0.20453255,0.03673782,3.13278467,0.82044371,0.51888100,1.28820841,0.53361339
-5.70585293,5.13054169,0.03132447,0.21069854,0.03739679,3.26144691,0.85359302,0.53844014,1.33586261,0.55901112
-5.69984992,5.32944487,0.03116134,0.21732420,0.03841149,3.39459982,0.88740832,0.55863594,1.38366199,0.58509515
-5.69384692,5.53447920,0.03106119,0.22432436,0.03979203,3.53145801,0.92145176,0.57936734,1.43120480,0.61167883
-5.68784392,5.74419296,0.03103953,0.23160830,0.04154410,3.67116647,0.95530043,0.60052177,1.47808301,0.63856074
-5.68184092,5.95701167,0.03111218,0.23908036,0.04366767,3.81278475,0.98855038,0.62197150,1.52388242,0.66552422
-5.67583792,6.17121996,0.03129438,0.24664043,0.04615589,3.95527278,1.02082015,0.64357024,1.56818308,0.69233710
-5.66983492,6.38494739,0.03159986,0.25418448,0.04899401,4.09747959,1.05175403,0.66515036,1.61056052,0.71875179
-5.66383192,6.59616016,0.03204000,0.26160513,0.05215864,4.23813652,1.08102465,0.68652098,1.65058761,0.74450573
-5.65782891,6.80266056,0.03262306,0.26879244,0.05561715,4.37585572,1.10833515,0.70746718,1.68783744,0.76932269
