energy_ev,total_up,total_down,As_p_up,As_p_down,As_d_up,As_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.01404286,-1.01404285,0.25418731,-0.25418731,0.00000000,-0.00000000,0.47670964,-0.47670963,0.22165041,-0.22165040,0.00766647,-0.00766647,0.34087833,-0.34087832
-5.99399700,0.97681940,-0.97681939,0.24349199,-0.24349199,0.00000000,-0.00000000,0.46405840,-0.46405840,0.21179370,-0.21179370,0.00811957,-0.00811957,0.33098944,-0.33098944
-5.98799400,0.95102879,-0.95102879,0.23575542,-0.23575542,0.00000000,-0.00000000,0.45694055,-0.45694055,0.20421757,-0.20421757,0.00871947,-0.00871947,0.32488271,-0.32488271
-5.98199100,0.93673101,-0.93673100,0.23088572,-0.23088572,0.00000000,-0.00000000,0.45521246,-0.45521246,0.19901330,-0.19901330,0.00946728,-0.00946728,0.32265939,-0.32265939
-5.97598799,0.93380472,-0.93380472,0.22874395,-0.22874395,0.00000000,-0.00000000,0.45863718,-0.45863718,0.19623503,-0.19623503,0.01036291,-0.01036291,0.32436027,-0.32436027
-5.96998499,0.94195362,-0.94195362,0.22914940,-0.22914940,0.00000000,-0.00000000,0.46689077,-0.46689077,0.19589978,-0.19589978,0.01140508,-0.01140508,0.32996440,-0.32996440
-5.96398199,0.96071535,-0.96071535,0.23188559,-0.23188559,0.00000000,-0.00000000,0.47956992,-0.47956992,0.19798807,-0.19798807,0.01259136,-0.01259136,0.33938887,-0.33938887
-5.95797899,0.98947282,-0.98947282,0.23670661,-0.23670660,0.00000000,-0.00000000,0.49620096,-0.49620096,0.20244506,-0.20244506,0.01391818,-0.01391818,0.35248953,-0.35248953
-5.95197599,1.02746799,-1.02746799,0.24334386,-0.24334386,0.00000000,-0.00000000,0.51625010,-0.51625010,0.20918218,-0.20918218,0.01538089,-0.01538089,0.36906276,-0.36906276
-5.94597299,1.07381777,-1.07381778,0.25151312,-0.25151312,0.00000000,-0.00000000,0.53913491,-0.53913491,0.21807929,-0.21807929,0.01697383,-0.01697383,0.38884845,-0.38884845
-5.93996998,1.12753211,-1.12753211,0.26092164,-0.26092164,0.00000000,-0.00000000,0.56423688,-0.56423688,0.22898722,-0.22898722,0.01869038,-0.01869038,0.41153405,-0.41153405
-5.93396698,1.18753385,-1.18753386,0.27127531,-0.27127531,0.00000000,-0.00000000,0.59091493,-0.59091493,0.24173068,-0.24173068,0.02052307,-0.02052307,0.43675975,-0.43675975
-5.92796398,1.25268027,-1.25268028,0.28228568,-0.28228568,0.00000000,-0.00000000,0.61851959,-0.61851960,0.25611163,-0.25611163,0.02246369,-0.02246369,0.46412477,-0.46412477
-5.92196098,1.32178577,-1.32178577,0.29367668,-0.29367668,0.00000000,-0.00000000,0.64640768,-0.64640768,0.27191288,-0.27191289,0.02450340,-0.02450340,0.49319466,-0.49319466
