energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,0.80594394,0.01984020,0.00000000,0.25312156,0.41391913,0.36204779,0.00000000
-5.99399700,0.84753961,0.01981722,0.00000000,0.26721573,0.43483875,0.38103833,0.00000000
-5.98799400,0.89149323,0.02007091,0.00000000,0.28147855,0.45762590,0.40030084,0.00000000
-5.98199100,0.93668257,0.02055473,0.00000000,0.29555856,0.48171023,0.41932061,0.00000000
-5.97598799,0.98200439,0.02122494,0.00000000,0.30911232,0.50652744,0.43759722,0.00000000
-5.96998499,1.02639599,0.02204073,0.00000000,0.32181236,0.53152865,0.45465638,0.00000000
-5.96398199,1.06885583,0.02296426,0.00000000,0.33335485,0.55618926,0.47006144,0.00000000
-5.95797899,1.10846292,0.02396064,0.00000000,0.34346683,0.58001746,0.48342405,0.00000000
-5.95197599,1.14439422,0.02499789,0.00000000,0.35191256,0.60256185,0.49441358,0.00000000
-5.94597299,1.17593981,0.02604690,0.00000000,0.35849897,0.62341838,0.50276511,0.00000000
-5.93996998,1.20251517,0.02708132,0.00000000,0.36307983,0.64223633,0.50828551,0.00000000
-5.93396698,1.22367053,0.02807752,0.00000000,0.36555860,0.65872318,0.51085743,0.00000000
-5.92796398,1.23909676,0.02901456,0.00000000,0.36588971,0.67264848,0.51044114,0.00000000
-5.92196098,1.24862802,0.02987417,0.00000000,0.36407844,0.68384647,0.50707396,0.00000000
-5.91595798,1.25224090,0.03064077,0.00000000,0.36017926,0.69221764,0.50086753,0.00000000
-5.90995498,1.25005046,0.03130152,0.00000000,0.35429282,0.69772909,0.49200291,0.00000000
-5.90395198,1.24230323,0.03184635,0.00000000,0.34656170,0.70041376,0.48072378,0.00000000
-5.89794897,1.22936759,0.03226806,0.00000000,0.33716515,0.70036861,0.46732801,0.00000000
-5.89194597,1.21172188,0.03256238,0.00000000,0.32631309,0.69775179,0.45215806,0.00000000
-5.88594297,1.18994061,0.03272802,0.00000000,0.31423960,0.69277870,0.43559038,0.00000000
-5.87993997,1.16467933,0.03276675,0.00000000,0.30119619,0.68571719,0.41802443,0.00000000
-5.87393697,1.13665828,0.03268334,0.00000000,0.28744506,0.67688177,0.39987155,0.00000000
-5.86793397,1.10664550,0.03248556,0.00000000,0.27325272,0.66662688,0.38154419,0.00000000
-5.86193097,1.07543948,0.03218405,0.00000000,0.25888401,0.65533933,0.36344564,0.00000000
-5.85592796,1.04385170,0.03179213,0.00000000,0.24459685,0.64342984,0.34596067,0.00000000
-5.84992496,1.01268948,0.03132557,0.00000000,0.23063772,0.63132380,0.32944729,0.00000000
-5.84392196,0.98273904,0.03080224,0.00000000,0.21723796,0.61945144,0.31422970,0.00000000
-5.83791896,0.95474938,0.03024171,0.00000000,0.20461103,0.60823737,0.30059256,0.00000000
-5.83191596,0.92941690,0.02966478,0.00000000,0.19295052,0.59808990,0.28877668,0.00000000
-5.82591296,0.90737120,0.02909295,0.00000000,0.18242909,0.58939025,0.27897609,0.00000000
-5.81990995,0.88916230,0.02854790,0.00000000,0.17319811,0.58248203,0.27133642,0.00000000
-5.81390695,0.87524951,0.02805086,0.00000000,0.16538787,0.57766132,0.26595464,0.00000000
-5.80790395,0.86599233,0.02762207,0.00000000,0.15910850,0.57516773,0.26287994,0.00000000
-5.80190095,0.86164362,0.02728024,0.00000000,0.15445109,0.57517683,0.26211580,0.00000000
-5.79589795,0.86234544,0.02704204,0.00000000,0.15148931,0.57779432,0.26362299,0.00000000
-5.78989495,0.86812764,0.02692169,0.00000000,0.15028102,0.58305226,0.26732350,0.00000000
-5.78389195,0.87890946,0.02693063,0.00000000,0.15086998,0.59090760,0.27310521,0.00000000
-5.77788894,0.89450416,0.02707722,0.00000000,0.15328750,0.60124328,0.28082706,0.00000000
-5.77188594,0.91462663,0.02736669,0.00000000,0.15755384,0.61387185,0.29032473,0.00000000
-5.76588294,0.93890370,0.02780100,0.00000000,0.16367927,0.62854157,0.30141644,0.00000000
-5.75987994,0.96688695,0.02837896,0.00000000,0.17166475,0.64494488,0.31390886,0.00000000
-5.75387694,0.99806739,0.02909638,0.00000000,0.18150216,0.66272889,0.32760268,0.00000000
-5.74787394,1.03189152,0.02994623,0.00000000,0.19317383,0.68150741,0.34229789,0.00000000
-5.74187094,1.06777801,0.03091900,0.00000000,0.20665165,0.70087411,0.35779837,0.00000000
-5.73586793,1.10513436,0.03200291,0.00000000,0.22189551,0.72041616,0.37391569,0.00000000
