energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.30732452,-1.30732452,0.00113241,-0.00113241,0.25744984,-0.25744984,0.49758773,-0.49758773,0.55036723,-0.55036723,0.47355373,-0.47355373,0.00000000,-0.00000000,0.24748741,-0.24748741,0.08545410,-0.08545410
-5.99399700,1.24960879,-1.24960879,0.00098444,-0.00098444,0.23797513,-0.23797513,0.48189323,-0.48189323,0.51671640,-0.51671640,0.46651874,-0.46651874,0.00000000,-0.00000000,0.24664375,-0.24664375,0.08491913,-0.08491913
-5.98799400,1.19386455,-1.19386454,0.00085898,-0.00085898,0.21906937,-0.21906937,0.46830151,-0.46830152,0.48326323,-0.48326323,0.46015306,-0.46015306,0.00000000,-0.00000000,0.24592008,-0.24592008,0.08433545,-0.08433545
-5.98199100,1.14039812,-1.14039812,0.00075246,-0.00075246,0.20097702,-0.20097702,0.45670066,-0.45670066,0.45041786,-0.45041786,0.45427263,-0.45427263,0.00000000,-0.00000000,0.24520556,-0.24520555,0.08366251,-0.08366251
-5.97598799,1.08950700,-1.08950700,0.00066177,-0.00066177,0.18391805,-0.18391805,0.44697083,-0.44697083,0.41856733,-0.41856733,0.44872105,-0.44872105,0.00000000,-0.00000000,0.24440659,-0.24440659,0.08286862,-0.08286862
-5.96998499,1.04147506,-1.04147506,0.00058423,-0.00058423,0.16808522,-0.16808522,0.43898511,-0.43898511,0.38807087,-0.38807087,0.44337056,-0.44337056,0.00000000,-0.00000000,0.24344692,-0.24344692,0.08193123,-0.08193123
-5.96398199,0.99656818,-0.99656818,0.00051753,-0.00051753,0.15364256,-0.15364256,0.43261002,-0.43261002,0.35925660,-0.35925660,0.43812147,-0.43812147,0.00000000,-0.00000000,0.24226685,-0.24226685,0.08083683,-0.08083683
-5.95797899,0.95503047,-0.95503047,0.00045975,-0.00045975,0.14072497,-0.14072497,0.42770580,-0.42770580,0.33241948,-0.33241947,0.43290046,-0.43290046,0.00000000,-0.00000000,0.24082173,-0.24082173,0.07958057,-0.07958057
-5.95197599,0.91708118,-0.91708118,0.00040928,-0.00040928,0.12943887,-0.12943887,0.42412674,-0.42412674,0.30782043,-0.30782043,0.42765787,-0.42765787,0.00000000,-0.00000000,0.23908004,-0.23908004,0.07816552,-0.07816552
-5.94597299,0.88291222,-0.88291222,0.00036483,-0.00036483,0.11986362,-0.11986362,0.42172168,-0.42172168,0.28568637,-0.28568637,0.42236435,-0.42236435,0.00000000,-0.00000000,0.23702112,-0.23702112,0.07660171,-0.07660171
