energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.24479291,-1.32552933,0.01236493,-0.00793521,0.30539261,-0.34315931,0.30203694,-0.32716159,0.42556566,-0.24916960,0.04678324,-0.03608588,0.20897916,-0.31685814
-5.99399700,1.19428686,-1.25142882,0.01192011,-0.00769367,0.29336304,-0.32514624,0.28996110,-0.31051360,0.40872697,-0.23662435,0.04505354,-0.03411721,0.20001066,-0.29756847
-5.98799400,1.13986704,-1.17820516,0.01143431,-0.00748085,0.28037744,-0.30740756,0.27699373,-0.29412159,0.39047281,-0.22437673,0.04315523,-0.03218603,0.19040808,-0.27841390
-5.98199100,1.08222270,-1.10717790,0.01091484,-0.00730524,0.26659750,-0.29028882,0.26329622,-0.27831477,0.37106170,-0.21268032,0.04111243,-0.03032942,0.18029159,-0.25970467
-5.97598799,1.02212563,-1.03956705,0.01036976,-0.00717448,0.25220546,-0.27410974,0.24905022,-0.26339701,0.35077891,-0.20176981,0.03895251,-0.02858181,0.16979541,-0.24172735
-5.96998499,0.96040680,-0.97646889,0.00980768,-0.00709516,0.23739877,-0.25915745,0.23445237,-0.24964027,0.32992884,-0.19185607,0.03670533,-0.02697439,0.15906338,-0.22473961
-5.96398199,0.89793298,-0.91883660,0.00923761,-0.00707266,0.22238466,-0.24568105,0.21970888,-0.23727909,0.30882738,-0.18312215,0.03440236,-0.02553451,0.14824461,-0.20896619
-5.95797899,0.83558411,-0.86746606,0.00866871,-0.00711100,0.20737486,-0.23388748,0.20503030,-0.22650643,0.28779441,-0.17572024,0.03207591,-0.02428534,0.13748938,-0.19459618
-5.95197599,0.77423212,-0.82298680,0.00811020,-0.00721273,0.19258052,-0.22393868,0.19062661,-0.21747084,0.26714695,-0.16976957,0.02975826,-0.02324558,0.12694532,-0.18178139
-5.94597299,0.71472185,-0.78585807,0.00757112,-0.00737888,0.17820765,-0.21595021,0.17670262,-0.21027497,0.24719278,-0.16535530,0.02748100,-0.02242935,0.11675408,-0.17063597
